Date,Value
2019-01-01,2.3755999999999998e-06
2019-01-02,2.3755999999999998e-06
2019-01-03,2.3755999999999998e-06
2019-01-04,2.4065e-06
2019-01-05,2.4065e-06
2019-01-06,2.4065e-06
2019-01-07,2.4065e-06
2019-01-08,2.38969e-06
2019-01-09,2.4141300000000003e-06
2019-01-10,2.4341500000000002e-06
2019-01-11,2.44445e-06
2019-01-12,2.44445e-06
2019-01-13,2.44445e-06
2019-01-14,2.4401500000000003e-06
2019-01-15,2.4395500000000002e-06
2019-01-16,2.4346e-06
2019-01-17,2.44764e-06
2019-01-18,2.47361e-06
2019-01-19,2.47361e-06
2019-01-20,2.47361e-06
2019-01-21,2.46825e-06
2019-01-22,2.46873e-06
2019-01-23,2.49149e-06
2019-01-24,2.4827100000000002e-06
2019-01-25,2.49823e-06
2019-01-26,2.49823e-06
2019-01-27,2.49823e-06
2019-01-28,2.47681e-06
2019-01-29,2.49835e-06
2019-01-30,2.51186e-06
2019-01-31,2.5211e-06
2019-02-01,2.5217e-06
2019-02-02,2.5217e-06
2019-02-03,2.5217e-06
2019-02-04,2.52352e-06
2019-02-05,2.54727e-06
2019-02-06,2.53973e-06
2019-02-07,2.50989e-06
2019-02-08,2.50282e-06
2019-02-09,2.50282e-06
2019-02-10,2.50282e-06
2019-02-11,2.51022e-06
2019-02-12,2.53332e-06
2019-02-13,2.48576e-06
2019-02-14,2.4608200000000004e-06
2019-02-15,2.49016e-06
2019-02-16,2.49016e-06
2019-02-17,2.49016e-06
2019-02-18,2.4724099999999997e-06
2019-02-19,2.4585500000000004e-06
2019-02-20,2.4878200000000003e-06
2019-02-21,2.47023e-06
2019-02-22,2.48863e-06
2019-02-23,2.48863e-06
2019-02-24,2.48863e-06
2019-02-25,2.49463e-06
2019-02-26,2.49402e-06
2019-02-27,2.49065e-06
2019-02-28,2.48527e-06
2019-03-01,2.47801e-06
2019-03-02,2.47801e-06
2019-03-03,2.47801e-06
2019-03-04,2.47379e-06
2019-03-05,2.46623e-06
2019-03-06,2.49404e-06
2019-03-07,2.47664e-06
2019-03-08,2.47664e-06
2019-03-09,2.47664e-06
2019-03-10,2.47664e-06
2019-03-11,2.4659400000000002e-06
2019-03-12,2.46825e-06
2019-03-13,2.47061e-06
2019-03-14,2.45779e-06
2019-03-15,2.47673e-06
2019-03-16,2.47673e-06
2019-03-17,2.47673e-06
2019-03-18,2.4836999999999996e-06
2019-03-19,2.49328e-06
2019-03-20,2.50423e-06
2019-03-21,2.50781e-06
2019-03-22,2.4927e-06
2019-03-23,2.4927e-06
2019-03-24,2.4927e-06
2019-03-25,2.49759e-06
2019-03-26,2.5126300000000003e-06
2019-03-27,2.48748e-06
2019-03-28,2.4924e-06
2019-03-29,2.4970999999999998e-06
2019-03-30,2.4970999999999998e-06
2019-03-31,2.4970999999999998e-06
2019-04-01,2.52125e-06
2019-04-02,2.5277699999999998e-06
2019-04-03,2.53232e-06
2019-04-04,2.5355e-06
2019-04-05,2.5409899999999996e-06
2019-04-06,2.5409899999999996e-06
2019-04-07,2.5409899999999996e-06
2019-04-08,2.5600700000000003e-06
2019-04-09,2.57028e-06
2019-04-10,2.57858e-06
2019-04-11,2.55145e-06
2019-04-12,2.55972e-06
2019-04-13,2.55972e-06
2019-04-14,2.55972e-06
2019-04-15,2.5451199999999997e-06
2019-04-16,2.5598400000000003e-06
2019-04-17,2.56826e-06
2019-04-18,2.5608e-06
2019-04-19,2.5639e-06
2019-04-20,2.5639e-06
2019-04-21,2.5639e-06
2019-04-22,2.58474e-06
2019-04-23,2.58748e-06
2019-04-24,2.5790500000000003e-06
2019-04-25,2.56094e-06
2019-04-26,2.56372e-06
2019-04-27,2.56372e-06
2019-04-28,2.56372e-06
2019-04-29,2.56983e-06
2019-04-30,2.5593200000000003e-06
2019-05-01,2.5593200000000003e-06
2019-05-02,2.5752199999999996e-06
2019-05-03,2.58095e-06
2019-05-04,2.58095e-06
2019-05-05,2.58095e-06
2019-05-06,2.57975e-06
2019-05-07,2.5651e-06
2019-05-08,2.5444299999999997e-06
2019-05-09,2.5444299999999997e-06
2019-05-10,2.51487e-06
2019-05-11,2.51487e-06
2019-05-12,2.51487e-06
2019-05-13,2.50887e-06
2019-05-14,2.56233e-06
2019-05-15,2.5544899999999996e-06
2019-05-16,2.58111e-06
2019-05-17,2.57748e-06
2019-05-18,2.57748e-06
2019-05-19,2.57748e-06
2019-05-20,2.57165e-06
2019-05-21,2.6165300000000003e-06
2019-05-22,2.63871e-06
2019-05-23,2.61861e-06
