Date,Value
2019-01-01,6.70853230673346e-08
2019-01-02,6.7055678144185e-08
2019-01-03,6.702603317610434e-08
2019-01-04,6.69963883027437e-08
2019-01-05,6.696674407785009e-08
2019-01-06,6.693710169877924e-08
2019-01-07,6.690746323600362e-08
2019-01-08,6.687783186260604e-08
2019-01-09,6.684821208374314e-08
2019-01-10,6.681860996605406e-08
2019-01-11,6.678903336697978e-08
2019-01-12,6.675949215700168e-08
2019-01-13,6.672999675804117e-08
2019-01-14,6.670055880504315e-08
2019-01-15,6.667119137356393e-08
2019-01-16,6.6641909206916e-08
2019-01-17,6.661273106699687e-08
2019-01-18,6.658367911146642e-08
2019-01-19,6.655477664743614e-08
2019-01-20,6.652604590270338e-08
2019-01-21,6.649750737762223e-08
2019-01-22,6.646918006679136e-08
2019-01-23,6.644108167925865e-08
2019-01-24,6.64132291078678e-08
2019-01-25,6.638564008510999e-08
2019-01-26,6.63583317151654e-08
2019-01-27,6.633131813894197e-08
2019-01-28,6.63046100920103e-08
2019-01-29,6.627821511304179e-08
2019-01-30,6.625213774988925e-08
2019-01-31,6.62263798635605e-08
2019-02-01,6.620094400227207e-08
2019-02-02,6.617583172905631e-08
2019-02-03,6.615103810043323e-08
2019-02-04,6.612655419351131e-08
2019-02-05,6.61023672972964e-08
2019-02-06,6.60784611016108e-08
2019-02-07,6.60548153111896e-08
2019-02-08,6.603140570051257e-08
2019-02-09,6.600820506400301e-08
2019-02-10,6.59851861073057e-08
2019-02-11,6.596232195732269e-08
2019-02-12,6.593958633982864e-08
2019-02-13,6.591695375589176e-08
2019-02-14,6.589439648523508e-08
2019-02-15,6.587188524698161e-08
2019-02-16,6.584938909284329e-08
2019-02-17,6.582688225211493e-08
2019-02-18,6.580434555139773e-08
2019-02-19,6.57817665882632e-08
2019-02-20,6.575913990514732e-08
2019-02-21,6.573646363425001e-08
2019-02-22,6.571373932644479e-08
2019-02-23,6.569096946112653e-08
2019-02-24,6.566815517788054e-08
2019-02-25,6.564529625773146e-08
2019-02-26,6.562239129917937e-08
2019-02-27,6.559943789458043e-08
2019-02-28,6.557643082617267e-08
2019-03-01,6.555336502096354e-08
2019-03-02,6.553023679924111e-08
2019-03-03,6.55070450749276e-08
2019-03-04,6.548379095533412e-08
2019-03-05,6.546047792010913e-08
2019-03-06,6.543711200066848e-08
2019-03-07,6.541370181424656e-08
2019-03-08,6.539025878122583e-08
2019-03-09,6.53667976344748e-08
2019-03-10,6.534333753850716e-08
2019-03-11,6.531990227050916e-08
2019-03-12,6.52965204013589e-08
2019-03-13,6.527322547645392e-08
2019-03-14,6.525005705800969e-08
2019-03-15,6.522705852131668e-08
2019-03-16,6.520427585696586e-08
2019-03-17,6.518175640617688e-08
2019-03-18,6.515954917547917e-08
2019-03-19,6.513770501047307e-08
2019-03-20,6.511627676718197e-08
2019-03-21,6.509531368816462e-08
2019-03-22,6.507485884640604e-08
2019-03-23,6.505494902620534e-08
2019-03-24,6.503561072745698e-08
2019-03-25,6.501686053918326e-08
2019-03-26,6.499870528874961e-08
2019-03-27,6.4981142186542e-08
2019-03-28,6.496416458951051e-08
2019-03-29,6.49477595826748e-08
2019-03-30,6.493191138327216e-08
2019-03-31,6.491660307767889e-08
2019-04-01,6.490181623057852e-08
2019-04-02,6.488753100308144e-08
2019-04-03,6.487372626682094e-08
2019-04-04,6.486038498346889e-08
2019-04-05,6.484749473563646e-08
2019-04-06,6.483504544787168e-08
2019-04-07,6.482303075309654e-08
2019-04-08,6.481144869900586e-08
2019-04-09,6.480030184077317e-08
2019-04-10,6.478959733041848e-08
2019-04-11,6.477934655991676e-08
2019-04-12,6.47695608209549e-08
2019-04-13,6.476025108078645e-08
2019-04-14,6.475142544817098e-08
2019-04-15,6.474309015570236e-08
2019-04-16,6.473524962790773e-08
2019-04-17,6.472790654556301e-08
2019-04-18,6.472105982131437e-08
2019-04-19,6.471470462007218e-08
2019-04-20,6.47088301186309e-08
2019-04-21,6.47034205099531e-08
2019-04-22,6.469845421053439e-08
2019-04-23,6.469390390214425e-08
2019-04-24,6.468973657014626e-08
2019-04-25,6.468591219447268e-08
2019-04-26,6.468238381727362e-08
2019-04-27,6.467909903230264e-08
2019-04-28,6.467600541029005e-08
2019-04-29,6.467305072413406e-08
2019-04-30,6.467018297277142e-08
2019-05-01,6.466735040397588e-08
2019-05-02,6.466450143154761e-08
2019-05-03,6.46615841918917e-08
2019-05-04,6.465854656600095e-08
2019-05-05,6.465533620196544e-08
2019-05-06,6.465190053841105e-08
2019-05-07,6.464818682927072e-08
2019-05-08,6.46441421702942e-08
2019-05-09,6.463971895671564e-08
2019-05-10,6.4634874000882e-08
2019-05-11,6.462956865974708e-08
2019-05-12,6.462376887225538e-08
2019-05-13,6.461744520027845e-08
2019-05-14,6.461057287336627e-08
2019-05-15,6.4603131837541e-08
2019-05-16,6.459510867252183e-08
2019-05-17,6.45864953358687e-08
2019-05-18,6.45772857434079e-08
2019-05-19,6.456747360498327e-08
2019-05-20,6.455705305801778e-08
2019-05-21,6.454601874322447e-08
2019-05-22,6.453436588501195e-08
2019-05-23,6.452208926628617e-08
2019-05-24,6.450918369182128e-08
2019-05-25,6.449564314471497e-08
2019-05-26,6.448146147007349e-08
2019-05-27,6.446663340001585e-08
2019-05-28,6.445115466310029e-08
2019-05-29,6.443502209873853e-08
2019-05-30,6.441823264237106e-08
2019-05-31,6.440078403482341e-08
2019-06-01,6.438267779907665e-08
2019-06-02,6.436392053153751e-08
