Date,Value
2019-01-01,1.8263988887094787e-05
2019-01-02,1.8169605555633833e-05
2019-01-03,1.8075218749197052e-05
2019-01-04,1.798081949790386e-05
2019-01-05,1.788639878071042e-05
2019-01-06,1.7791948253798934e-05
2019-01-07,1.7697460979132555e-05
2019-01-08,1.760292383615088e-05
2019-01-09,1.7508322412484513e-05
2019-01-10,1.7413639062824226e-05
2019-01-11,1.7318854524155157e-05
2019-01-12,1.722395173992702e-05
2019-01-13,1.7128916591416254e-05
2019-01-14,1.7033738630000626e-05
2019-01-15,1.6938407477423974e-05
2019-01-16,1.6842915610034367e-05
2019-01-17,1.6747259024685138e-05
2019-01-18,1.665144353750809e-05
2019-01-19,1.655548245920413e-05
2019-01-20,1.6459397334360285e-05
2019-01-21,1.6363218681890148e-05
2019-01-22,1.6266980587671524e-05
2019-01-23,1.617072168209945e-05
2019-01-24,1.6074488143505183e-05
2019-01-25,1.5978329561715783e-05
2019-01-26,1.5882296082103155e-05
2019-01-27,1.578643914754842e-05
2019-01-28,1.569081223944098e-05
2019-01-29,1.5595470004086234e-05
2019-01-30,1.5500469366945454e-05
2019-01-31,1.5405867927084053e-05
2019-02-01,1.5311723950199948e-05
2019-02-02,1.5218092986798128e-05
2019-02-03,1.5125028598610242e-05
2019-02-04,1.5032583081055735e-05
2019-02-05,1.4940807820941825e-05
2019-02-06,1.4849752535465288e-05
2019-02-07,1.4759464211515777e-05
2019-02-08,1.4669987308912988e-05
2019-02-09,1.4581360583633164e-05
2019-02-10,1.44936177782173e-05
2019-02-11,1.440678830561933e-05
2019-02-12,1.4320897158541937e-05
2019-02-13,1.4235963555734059e-05
2019-02-14,1.41520027978931e-05
2019-02-15,1.4069024850016327e-05
2019-02-16,1.3987037272667061e-05
2019-02-17,1.390604586223663e-05
2019-02-18,1.3826055283564538e-05
2019-02-19,1.37470673229626e-05
2019-02-20,1.366908332229756e-05
2019-02-21,1.3592106973620176e-05
2019-02-22,1.351614110326511e-05
2019-02-23,1.3441185977070931e-05
2019-02-24,1.336723988653653e-05
2019-02-25,1.3294299727178564e-05
2019-02-26,1.3222359410156052e-05
2019-02-27,1.3151411142913258e-05
2019-02-28,1.3081449259797821e-05
2019-03-01,1.3012472331367534e-05
2019-03-02,1.2944481000224014e-05
2019-03-03,1.2877478513242103e-05
2019-03-04,1.2811471246194327e-05
2019-03-05,1.2746469838960902e-05
2019-03-06,1.2682488059482567e-05
2019-03-07,1.2619541052380821e-05
2019-03-08,1.2557645931309474e-05
2019-03-09,1.2496820515555804e-05
2019-03-10,1.2437083807626369e-05
2019-03-11,1.2378456462578919e-05
2019-03-12,1.2320961139965031e-05
2019-03-13,1.2264620655584374e-05
2019-03-14,1.2209456053176403e-05
2019-03-15,1.2155486222393546e-05
2019-03-16,1.2102725806318683e-05
2019-03-17,1.2051185617899027e-05
2019-03-18,1.2000873047048105e-05
2019-03-19,1.1951790737553382e-05
2019-03-20,1.1903937232730762e-05
2019-03-21,1.1857307665935297e-05
2019-03-22,1.1811890434565136e-05
2019-03-23,1.1767666489947202e-05
2019-03-24,1.1724609687778787e-05
2019-03-25,1.1682687129361704e-05
2019-03-26,1.1641856721273966e-05
2019-03-27,1.1602068778192783e-05
2019-03-28,1.1563270496402752e-05
2019-03-29,1.1525402419253235e-05
