Date,Value
2019-01-01,-5.15005815069032
2019-02-01,-5.021130933079
2019-03-01,-4.892148155873883
2019-04-01,-4.763091680944151
2019-05-01,-4.633870998759271
2019-06-01,-4.50430857953309
2019-07-01,-4.3741842635489885
2019-08-01,-4.243151202994546
2019-09-01,-4.11072406503904
2019-10-01,-3.9762763257959866
2019-11-01,-3.8391709944299404
2019-12-01,-3.69878522758283
2020-01-01,-3.554623322799748
2020-02-01,-3.4063056342072047
2020-03-01,-3.2532855282009625
2020-04-01,-3.0948485721744055
2020-05-01,-2.930137049803683
2020-06-01,-2.7589179080585438
2020-07-01,-2.5817254455024985
2020-08-01,-2.399200980288775
2020-09-01,-2.2122391829702193
2020-10-01,-2.021856307364934
2020-11-01,-1.8291358129033166
2020-12-01,-1.63515964121664
2021-01-01,-1.4410327106158363
2021-02-01,-1.2477998588811978
2021-03-01,-1.056624602077003
2021-04-01,-0.8686004701662173
2021-05-01,-0.6846920608477758
2021-06-01,-0.5056765690101821
2021-07-01,-0.3321128081488256
2021-08-01,-0.16441058644179843
2021-09-01,-0.0027858153444052514
2021-10-01,0.15260214997877453
2021-11-01,0.3018608144892271
2021-12-01,0.4453836135546902
2022-01-01,0.5838777422085619
2022-02-01,0.7183854382888548
2022-03-01,0.8499382536792615
2022-04-01,0.9795032690524821
2022-05-01,1.1080434027024892
2022-06-01,1.2362771629740164
2022-07-01,1.3647218051977197
2022-08-01,1.4937073432346046
2022-09-01,1.6233558241536494
2022-10-01,1.75355292645833
2022-11-01,1.883989651164334
2022-12-01,2.014158835889679
2023-01-01,2.1434829023043855
2023-02-01,2.2714374554926478
2023-03-01,2.397736053114889
2023-04-01,2.5221539585637887
2023-05-01,2.6445749257838944
2023-06-01,2.7648735313615167
2023-07-01,2.882946256402012
2023-08-01,2.9986364657932802
2023-09-01,3.1117380142665256
2023-10-01,3.222199712353942
2023-11-01,3.3298306665589523
2023-12-01,3.4343669139605106
2024-01-01,3.535453531174615
2024-02-01,3.6327019582260167
2024-03-01,3.725923256422025
2024-04-01,3.8151630216561823
2024-05-01,3.900568521818112
2024-06-01,3.9823373606987102
2024-07-01,4.060769185941524
2024-08-01,4.136312788428942
2024-09-01,4.2095974611832165
2024-10-01,4.281281225505183
2024-11-01,4.352083936205316
2024-12-01,4.422544109120094
