Date,Value
2019-01-01,6.634980392606055e-08
2019-01-02,6.681297800423873e-08
2019-01-03,6.698982145938131e-08
2019-01-04,6.704976656479598e-08
2019-01-05,6.706985262753187e-08
2019-01-06,6.707661696843368e-08
2019-01-07,6.70789388077082e-08
2019-01-08,6.707977953736621e-08
2019-01-09,6.708012648557587e-08
2019-01-10,6.707970886087666e-08
2019-01-11,6.693358093996643e-08
2019-01-12,6.69223278516984e-08
2019-01-13,6.691857624118096e-08
2019-01-14,6.69173255106136e-08
2019-01-15,6.71004276530436e-08
2019-01-16,6.708814350259417e-08
2019-01-17,6.687053135797575e-08
2019-01-18,6.658606582183525e-08
2019-01-19,6.641596845037088e-08
2019-01-20,6.635926054294597e-08
2019-01-21,6.634035497881628e-08
2019-01-22,6.635571713625766e-08
2019-01-23,6.64851623514061e-08
2019-01-24,6.638292870323117e-08
2019-01-25,6.612872925905397e-08
2019-01-26,6.598758735310377e-08
2019-01-27,6.594053276273889e-08
2019-01-28,6.592484546944707e-08
2019-01-29,6.592828155697589e-08
2019-01-30,6.62035391964293e-08
2019-01-31,6.613365181256732e-08
2019-02-01,6.561639067331515e-08
2019-02-02,6.564552796734652e-08
2019-02-03,6.565524190330167e-08
2019-02-04,6.56584803835682e-08
2019-02-05,6.561009720914448e-08
2019-02-06,6.558276785342319e-08
2019-02-07,6.563998485221579e-08
2019-02-08,6.589324199908916e-08
2019-02-09,6.600627191061197e-08
2019-02-10,6.60439543845015e-08
2019-02-11,6.605651715500448e-08
2019-02-12,6.578665995589103e-08
2019-02-13,6.57386903678807e-08
2019-02-14,6.569843324110567e-08
2019-02-15,6.626136747322124e-08
2019-02-16,6.655669961345961e-08
2019-02-17,6.665515891076714e-08
2019-02-18,6.668798376084429e-08
2019-02-19,6.639401735876667e-08
2019-02-20,6.626614902478378e-08
2019-02-21,6.599327081317056e-08
2019-02-22,6.569118033886537e-08
2019-02-23,6.557366921583884e-08
2019-02-24,6.553449277337758e-08
2019-02-25,6.552143193620411e-08
2019-02-26,6.534595757168399e-08
2019-02-27,6.552743846565548e-08
2019-02-28,6.568046763429761e-08
2019-03-01,6.581981175061077e-08
2019-03-02,6.58162708578287e-08
2019-03-03,6.581509037738766e-08
2019-03-04,6.581469682294886e-08
2019-03-05,6.580196659378432e-08
2019-03-06,6.580092227882495e-08
2019-03-07,6.582897192010374e-08
2019-03-08,6.591938363637979e-08
2019-03-09,6.594952554388e-08
2019-03-10,6.595957440286834e-08
2019-03-11,6.596292454144093e-08
2019-03-12,6.603850232592148e-08
2019-03-13,6.585778144133963e-08
