Date,Value
2019-01-01,3.649610626055195e-06
2019-01-02,3.6710179197579534e-06
2019-01-03,3.7254465327649095e-06
2019-01-04,3.7934850346192475e-06
2019-01-05,3.816207329635845e-06
2019-01-06,3.823784058855789e-06
2019-01-07,3.838394964442065e-06
2019-01-08,3.905426018854914e-06
2019-01-09,4.049406606173182e-06
2019-01-10,4.1081066948466954e-06
2019-01-11,4.065187582974462e-06
2019-01-12,4.050878996058983e-06
2019-01-13,4.067297113632952e-06
2019-01-14,3.987382650373059e-06
2019-01-15,4.045471636984733e-06
2019-01-16,4.090799194406868e-06
2019-01-17,4.086587261742183e-06
2019-01-18,4.139542491789185e-06
2019-01-19,4.157196969676275e-06
2019-01-20,4.144262995803006e-06
2019-01-21,4.155820547306629e-06
2019-01-22,4.106176761375987e-06
2019-01-23,4.081301438067813e-06
2019-01-24,4.0619084229501375e-06
2019-01-25,4.0661948916029624e-06
2019-01-26,4.0676239358348136e-06
2019-01-27,4.0528566608107246e-06
2019-01-28,3.984561384030102e-06
2019-01-29,4.0234025192196515e-06
2019-01-30,4.067754057424878e-06
2019-01-31,4.0831491885729145e-06
2019-02-01,4.095179247627598e-06
2019-02-02,4.099189888528842e-06
2019-02-03,4.111705723742733e-06
2019-02-04,4.1068441851752205e-06
2019-02-05,4.078959609776315e-06
2019-02-06,4.100002825833377e-06
2019-02-07,4.064774216227429e-06
2019-02-08,4.0881467882091474e-06
2019-02-09,4.0959388524651125e-06
2019-02-10,4.094015032915163e-06
2019-02-11,4.073688470882215e-06
2019-02-12,4.089880978624033e-06
2019-02-13,4.150030378127197e-06
2019-02-14,4.210570657015831e-06
2019-02-15,4.342491416559894e-06
2019-02-16,4.386471815288247e-06
2019-02-17,4.419912269570807e-06
2019-02-18,4.430531667235728e-06
2019-02-19,4.411587456573246e-06
2019-02-20,4.431090025443742e-06
2019-02-21,4.421707785933881e-06
2019-02-22,4.4066047732513356e-06
2019-02-23,4.401569655790873e-06
2019-02-24,4.405777413273825e-06
2019-02-25,4.297097505873543e-06
2019-02-26,4.269359465324578e-06
2019-02-27,4.32737685951441e-06
2019-02-28,4.337081341423313e-06
2019-03-01,4.303982854416221e-06
2019-03-02,4.292948316251733e-06
2019-03-03,4.297208304721422e-06
2019-03-04,4.313760296056724e-06
2019-03-05,4.326784567106544e-06
2019-03-06,4.337039658634923e-06
2019-03-07,4.355939022191009e-06
2019-03-08,4.342989213207902e-06
2019-03-09,4.338671941502513e-06
2019-03-10,4.340750467489863e-06
2019-03-11,4.374862892011165e-06
2019-03-12,4.395157339247635e-06
2019-03-13,4.426775243832625e-06
2019-03-14,4.41529161751204e-06
2019-03-15,4.4000350783368334e-06
2019-03-16,4.394948777450912e-06
2019-03-17,4.3936228385295275e-06
2019-03-18,4.410188698918408e-06
2019-03-19,4.384930278924829e-06
2019-03-20,4.398771654099745e-06
2019-03-21,4.374299885714747e-06
2019-03-22,4.306522718863234e-06
2019-03-23,4.283926829989414e-06
2019-03-24,4.272991030460773e-06
2019-03-25,4.281673207597267e-06
2019-03-26,4.349897398279177e-06
2019-03-27,4.351656189183383e-06
2019-03-28,4.370992798503014e-06
2019-03-29,4.4114971738693555e-06
2019-03-30,4.425000723917212e-06
2019-03-31,4.429502604571975e-06
2019-04-01,4.454726678899186e-06
2019-04-02,4.5102505331988984e-06
2019-04-03,4.528686020312733e-06
2019-04-04,4.524478772681216e-06
2019-04-05,4.571608309383808e-06
2019-04-06,4.587320588658324e-06
2019-04-07,4.613943818463764e-06
2019-04-08,4.638280667591145e-06
2019-04-09,4.6223277103105465e-06
2019-04-10,4.638391671057909e-06
2019-04-11,4.60302860238468e-06
2019-04-12,4.606179693365392e-06
2019-04-13,4.6072302197438035e-06
2019-04-14,4.610288365625002e-06
2019-04-15,4.598315168033657e-06
2019-04-16,4.604629678863841e-06
2019-04-17,4.6022276550250305e-06
2019-04-18,4.602156990482303e-06
2019-04-19,4.6021334319857035e-06
2019-04-20,4.602125577936974e-06
2019-04-21,4.627116819270364e-06
2019-04-22,4.699442142480006e-06
2019-04-23,4.734941204260053e-06
2019-04-24,4.749555963968679e-06
2019-04-25,4.754450362183143e-06
2019-04-26,4.695900462904814e-06
2019-04-27,4.676380806372624e-06
2019-04-28,4.65189432747191e-06
2019-04-29,4.658210827855806e-06
2019-04-30,4.692438131234168e-06
2019-05-01,4.674210423736179e-06
2019-05-02,4.6065230845786295e-06
2019-05-03,4.588265569160041e-06
2019-05-04,4.582178787893212e-06
2019-05-05,4.530822374331865e-06
2019-05-06,4.579830952375933e-06
2019-05-07,4.570350918486823e-06
2019-05-08,4.582977422729193e-06
2019-05-09,4.58862416549035e-06
2019-05-10,4.600507663953249e-06
2019-05-11,4.604469443755703e-06
2019-05-12,4.603385663132569e-06
2019-05-13,4.588470777077853e-06
2019-05-14,4.638889134750734e-06
2019-05-15,4.6706860331347465e-06
2019-05-16,4.696444761003698e-06
2019-05-17,4.673392144749505e-06
2019-05-18,4.665706748924805e-06
2019-05-19,4.699665513552592e-06
2019-05-20,4.667634598427572e-06
2019-05-21,4.659079918155761e-06
2019-05-22,4.607361197725127e-06
2019-05-23,4.445666962060172e-06
2019-05-24,4.435161399156501e-06
2019-05-25,4.431659002361894e-06
2019-05-26,4.463588044075447e-06
2019-05-27,4.507758703721723e-06
2019-05-28,4.515614290048629e-06
2019-05-29,4.493380705652318e-06
2019-05-30,4.3914179389963315e-06
2019-05-31,4.1524671677522115e-06
2019-06-01,4.07280457156883e-06
2019-06-02,4.046246259169858e-06
2019-06-03,4.0198806301108415e-06
2019-06-04,4.048241185781028e-06
2019-06-05,3.983242551649019e-06
2019-06-06,4.005222868532684e-06
2019-06-07,4.087507822054467e-06
2019-06-08,4.114940388981306e-06
2019-06-09,4.124085994538418e-06
2019-06-10,4.075572726212148e-06
2019-06-11,4.049117925365876e-06
2019-06-12,3.929056959526738e-06
2019-06-13,3.946660088233173e-06
2019-06-14,3.987412281915739e-06
2019-06-15,4.0009984508660145e-06
2019-06-16,4.008387373606363e-06
2019-06-17,3.953815114588558e-06
2019-06-18,3.982445499038245e-06
2019-06-19,3.97895014644347e-06
2019-06-20,4.075290805879945e-06
2019-06-21,4.1136793215646575e-06
2019-06-22,4.126477475791774e-06
2019-06-23,4.13588807131472e-06
2019-06-24,4.108351070231646e-06
2019-06-25,4.097626504178523e-06
2019-06-26,4.1373041751343705e-06
2019-06-27,4.16569410251362e-06
2019-06-28,4.185668526872045e-06
2019-06-29,4.192327699777727e-06
2019-06-30,4.194547767950509e-06
2019-07-01,4.1339863046511e-06
2019-07-02,4.001056292176536e-06
2019-07-03,4.023760491966978e-06
2019-07-04,4.020746950763336e-06
2019-07-05,4.0550899892380395e-06
2019-07-06,4.0665394421587235e-06
2019-07-07,4.0893860580155865e-06
2019-07-08,4.0807137917937795e-06
2019-07-09,4.092165566164141e-06
2019-07-10,4.212685626086661e-06
2019-07-11,4.233491047690674e-06
2019-07-12,4.213156169784899e-06
2019-07-13,4.2063768270834226e-06
2019-07-14,4.205962056197627e-06
2019-07-15,4.1950523251774725e-06
2019-07-16,4.093679827780088e-06
2019-07-17,4.030344324815884e-06
2019-07-18,3.942248294544407e-06
2019-07-19,3.930685421888041e-06
2019-07-20,3.9268305339111245e-06
2019-07-21,3.964341967384029e-06
2019-07-22,3.9727407491912935e-06
2019-07-23,4.004151288543855e-06
2019-07-24,3.993711384898166e-06
2019-07-25,3.998527367234048e-06
2019-07-26,4.0048125768670924e-06
2019-07-27,4.006907971304692e-06
2019-07-28,3.994642978943816e-06
2019-07-29,4.01276461653975e-06
2019-07-30,4.078302542015566e-06
2019-07-31,4.113042120937833e-06
2019-08-01,3.928855374824634e-06
2019-08-02,3.943408170956821e-06
2019-08-03,3.948259854488041e-06
2019-08-04,3.958421723730129e-06
2019-08-05,3.896982642561447e-06
2019-08-06,3.855209532766731e-06
2019-08-07,3.72932272262033e-06
2019-08-08,3.7331391559038546e-06
2019-08-09,3.7857443416255815e-06
2019-08-10,3.803282119995087e-06
2019-08-11,3.8020029022783726e-06
2019-08-12,3.815296171676069e-06
2019-08-13,3.945608169401128e-06
2019-08-14,3.916531052897309e-06
2019-08-15,3.836704758631239e-06
2019-08-16,3.854787284132005e-06
2019-08-17,3.860815726389977e-06
2019-08-18,3.8882123323721555e-06
2019-08-19,3.924472644587919e-06
2019-08-20,3.973813890024865e-06
2019-08-21,4.009318679664637e-06
2019-08-22,3.983427538853335e-06
2019-08-23,3.923725180402329e-06
2019-08-24,3.9038213113011114e-06
2019-08-25,3.859467352309568e-06
2019-08-26,3.853816235194759e-06
2019-08-27,3.9019903366388074e-06
2019-08-28,3.972735160034687e-06
2019-08-29,4.0285658724736e-06
2019-08-30,4.031873203292067e-06
2019-08-31,4.0329758176844145e-06
2019-09-01,4.0333434127527475e-06
2019-09-02,3.944645209836741e-06
2019-09-03,3.902541738116325e-06
2019-09-04,4.008350409673971e-06
2019-09-05,4.038239281245915e-06
2019-09-06,4.0560045922429396e-06
2019-09-07,4.061927279952461e-06
2019-09-08,4.0756879394215185e-06
2019-09-09,4.112440518804714e-06
2019-09-10,4.097644068460729e-06
2019-09-11,4.018796685988606e-06
2019-09-12,3.973462539094692e-06
2019-09-13,3.941687306468746e-06
2019-09-14,3.931093921429081e-06
2019-09-15,4.240332978836552e-06
2019-09-16,4.3799637245869605e-06
2019-09-17,4.206698503349148e-06
2019-09-18,4.120982594348406e-06
2019-09-19,4.139811139581375e-06
2019-09-20,4.131974434923086e-06
