Date,Value
2019-01-01,2.3504445107081495e-06
2019-01-02,2.366409754584219e-06
2019-01-03,2.372503121268979e-06
2019-01-04,2.3951523736909124e-06
2019-01-05,2.402716368785636e-06
2019-01-06,2.4052385757847253e-06
2019-01-07,2.4060794595128546e-06
2019-01-08,2.3951539994413927e-06
2019-01-09,2.4078036876821897e-06
2019-01-10,2.4253665370875143e-06
2019-01-11,2.4380878614822797e-06
2019-01-12,2.442328959039287e-06
2019-01-13,2.4437428769556998e-06
2019-01-14,2.4413478109512085e-06
2019-01-15,2.4401493630375076e-06
2019-01-16,2.4364500738824384e-06
2019-01-17,2.4439094475173826e-06
2019-01-18,2.4637082840605855e-06
2019-01-19,2.4703089173483477e-06
2019-01-20,2.4725094688658295e-06
2019-01-21,2.469670042633446e-06
2019-01-22,2.469043396026312e-06
2019-01-23,2.4840066410125845e-06
2019-01-24,2.483142280543923e-06
2019-01-25,2.493199982046122e-06
2019-01-26,2.4965530679301807e-06
2019-01-27,2.497670936157172e-06
2019-01-28,2.483764721269225e-06
2019-01-29,2.4934874882008055e-06
2019-01-30,2.505734881854954e-06
2019-01-31,2.5159775015098848e-06
2019-02-01,2.5197922053707243e-06
2019-02-02,2.5210639700641634e-06
2019-02-03,2.5214879572187316e-06
2019-02-04,2.5228425476055156e-06
2019-02-05,2.539126256045226e-06
2019-02-06,2.539528720877539e-06
2019-02-07,2.519771102215481e-06
2019-02-08,2.5084712416425892e-06
2019-02-09,2.5047040386717606e-06
2019-02-10,2.50344811005814e-06
2019-02-11,2.5079623540987488e-06
2019-02-12,2.5248661435691e-06
2019-02-13,2.4987973980529093e-06
2019-02-14,2.473481091333506e-06
2019-02-15,2.484599503578537e-06
2019-02-16,2.4883062144153823e-06
2019-02-17,2.489541975864516e-06
2019-02-18,2.4781215421873256e-06
2019-02-19,2.465074856779974e-06
2019-02-20,2.4802371125335862e-06
2019-02-21,2.4735662202854414e-06
2019-02-22,2.4836079631946317e-06
2019-02-23,2.4869557287246375e-06
2019-02-24,2.488071823225886e-06
2019-02-25,2.49244360284339e-06
2019-02-26,2.4934944529799037e-06
2019-02-27,2.4915982976933346e-06
2019-02-28,2.4873797589405494e-06
2019-03-01,2.4811337362168403e-06
2019-03-02,2.4790514065094215e-06
2019-03-03,2.4783571892127187e-06
2019-03-04,2.475312631952802e-06
2019-03-05,2.4692580124126155e-06
2019-03-06,2.485778059362768e-06
2019-03-07,2.4796864910745545e-06
2019-03-08,2.477655654144813e-06
2019-03-09,2.476978603763028e-06
2019-03-10,2.4767528853841856e-06
2019-03-11,2.4695448527926313e-06
2019-03-12,2.4686816843783796e-06
2019-03-13,2.4699671286750305e-06
2019-03-14,2.461849670915833e-06
2019-03-15,2.471769122866059e-06
2019-03-16,2.4750761184360333e-06
2019-03-17,2.4761786208479313e-06
2019-03-18,2.481192485707799e-06
2019-03-19,2.4892502051668893e-06
2019-03-20,2.499235962486557e-06
2019-03-21,2.504951545297459e-06
2019-03-22,2.4967844802946108e-06
2019-03-23,2.494061704084833e-06
2019-03-24,2.4931539715902406e-06
2019-03-25,2.4961110950793486e-06
2019-03-26,2.50712284641253e-06
2019-03-27,2.4940286285324918e-06
2019-03-28,2.4929429601725087e-06
2019-03-29,2.4957141056620163e-06
2019-03-30,2.4966379637444527e-06
2019-03-31,2.496945964085725e-06
2019-04-01,2.513147401237053e-06
2019-04-02,2.5228950462653357e-06
2019-04-03,2.5291778626718346e-06
2019-04-04,2.5333922948322225e-06
2019-04-05,2.5384570397661193e-06
2019-04-06,2.540145549286957e-06
2019-04-07,2.5407084728772207e-06
2019-04-08,2.553615159072875e-06
2019-04-09,2.564724193550524e-06
2019-04-10,2.573960683249764e-06
2019-04-11,2.5589547220509366e-06
2019-04-12,2.559464867881809e-06
2019-04-13,2.5596349428023997e-06
2019-04-14,2.5596916432140534e-06
2019-04-15,2.549977965923715e-06
2019-04-16,2.556552146682613e-06
2019-04-17,2.5643567784058246e-06
2019-04-18,2.5619857762395005e-06
2019-04-19,2.5632618266888456e-06
2019-04-20,2.56368724264975e-06
2019-04-21,2.5638290699104865e-06
2019-04-22,2.5777686115082705e-06
2019-04-23,2.5842423696468715e-06
2019-04-24,2.580781057673956e-06
2019-04-25,2.5675547091755295e-06
2019-04-26,2.5649984341634245e-06
2019-04-27,2.564146210655202e-06
2019-04-28,2.5638620921998213e-06
2019-04-29,2.5678403896106117e-06
2019-04-30,2.562160569301423e-06
2019-05-01,2.560267002933544e-06
2019-05-02,2.570234896457512e-06
2019-05-03,2.5773777461976094e-06
2019-05-04,2.5797590644968484e-06
2019-05-05,2.5805529600775517e-06
2019-05-06,2.5800176947711078e-06
2019-05-07,2.570073334290022e-06
2019-05-08,2.552979100627938e-06
2019-05-09,2.5472801411212756e-06
2019-05-10,2.5256750518968305e-06
2019-05-11,2.518472241226175e-06
2019-05-12,2.5160709328576534e-06
2019-05-13,2.5112706823340073e-06
2019-05-14,2.545307594107554e-06
2019-05-15,2.5514287244617548e-06
2019-05-16,2.5712147107029e-06
2019-05-17,2.5753912471077956e-06
2019-05-18,2.5767836413104324e-06
2019-05-19,2.5772478445227553e-06
2019-05-20,2.573516236877909e-06
2019-05-21,2.6021898605642276e-06
2019-05-22,2.6265347366956398e-06
2019-05-23,2.621251987609517e-06
2019-05-24,2.619910766302907e-06
2019-05-25,2.6194636233617876e-06
2019-05-26,2.619314552653764e-06
2019-05-27,2.628404147648994e-06
2019-05-28,2.6159890097395325e-06
2019-05-29,2.6327617055916944e-06
2019-05-30,2.650599188496263e-06
2019-05-31,2.6604189697707666e-06
2019-06-01,2.6636927366417443e-06
2019-06-02,2.664784161106904e-06
2019-06-03,2.7082113605325405e-06
2019-06-04,2.7069305526032405e-06
2019-06-05,2.703537113408292e-06
2019-06-06,2.7200110965918133e-06
2019-06-07,2.7264098704760332e-06
2019-06-08,2.7285431251149553e-06
2019-06-09,2.7292543200152324e-06
2019-06-10,2.7381440855630417e-06
2019-06-11,2.7472139934752193e-06
2019-06-12,2.750237763884729e-06
2019-06-13,2.7556521690647563e-06
2019-06-14,2.744738234067739e-06
2019-06-15,2.74109969285929e-06
2019-06-16,2.7398866581354074e-06
2019-06-17,2.736169173656125e-06
2019-06-18,2.753181741672345e-06
2019-06-19,2.7571402742972637e-06
2019-06-20,2.7725122354817154e-06
2019-06-21,2.7649913270314387e-06
2019-06-22,2.762483969664111e-06
2019-06-23,2.7616480545603635e-06
2019-06-24,2.762315966512378e-06
2019-06-25,2.7567457531220423e-06
2019-06-26,2.7690076357077332e-06
2019-06-27,2.7761086625167353e-06
2019-06-28,2.7692700832532822e-06
2019-06-29,2.7669902041387266e-06
2019-06-30,2.7662301268512165e-06
2019-07-01,2.789721558153186e-06
2019-07-02,2.803112816674908e-06
2019-07-03,2.817003197566499e-06
2019-07-04,2.834186403107406e-06
2019-07-05,2.834962074357701e-06
2019-07-06,2.8352206714456606e-06
2019-07-07,2.835306883811886e-06
2019-07-08,2.8268029525284536e-06
2019-07-09,2.8240411978450986e-06
2019-07-10,2.823180465874035e-06
2019-07-11,2.800835217411723e-06
2019-07-12,2.7853329385035845e-06
2019-07-13,2.7801647126851658e-06
2019-07-14,2.778441704199223e-06
2019-07-15,2.763775036117299e-06
2019-07-16,2.7585120858849568e-06
2019-07-17,2.728286367104489e-06
2019-07-18,2.711156780967879e-06
2019-07-19,2.704099472992736e-06
2019-07-20,2.7017466730268862e-06
2019-07-21,2.7009622850281193e-06
2019-07-22,2.689821623596693e-06
2019-07-23,2.6973132949233554e-06
2019-07-24,2.687711841144408e-06
2019-07-25,2.6965832606921436e-06
2019-07-26,2.7093134353340357e-06
2019-07-27,2.7135574834283236e-06
2019-07-28,2.7149723850092775e-06
2019-07-29,2.7238367758575567e-06
2019-07-30,2.7310650327232562e-06
2019-07-31,2.7366879092154446e-06
2019-08-01,2.7318430112408484e-06
2019-08-02,2.6938839405301223e-06
2019-08-03,2.6812289592558937e-06
2019-08-04,2.6770099794955217e-06
2019-08-05,2.6584447628354584e-06
