Date,Value
2019-01-01,2.34228152657558e-06
2019-01-02,2.362272610630232e-06
2019-01-03,2.370474081011628e-06
2019-01-04,2.392725383916211e-06
2019-01-05,2.401237787114058e-06
2019-01-06,2.404489970185198e-06
2019-01-07,2.4057322345133625e-06
2019-01-08,2.39581759114161e-06
2019-01-09,2.40713528176349e-06
2019-01-10,2.4238312957293213e-06
2019-01-11,2.436574355761355e-06
2019-01-12,2.4414417715835143e-06
2019-01-13,2.443300958990791e-06
2019-01-14,2.4413535592373304e-06
2019-01-15,2.4402388983279367e-06
2019-01-16,2.436753867502167e-06
2019-01-17,2.4434818673918624e-06
2019-01-18,2.4621020773612557e-06
2019-01-19,2.469214364691904e-06
2019-01-20,2.4719310167144565e-06
2019-01-21,2.469656023271766e-06
2019-01-22,2.469083709415441e-06
2019-01-23,2.482931558558505e-06
2019-01-24,2.4827946278388505e-06
2019-01-25,2.492334212463445e-06
2019-01-26,2.495978009551484e-06
2019-01-27,2.497369816191007e-06
2019-01-28,2.4846631509825142e-06
2019-01-29,2.4931220888742087e-06
2019-01-30,2.5047027548281225e-06
2019-01-31,2.514836809666208e-06
2019-02-01,2.519078494563751e-06
2019-02-02,2.5206986740250454e-06
2019-02-03,2.5213175275113856e-06
2019-02-04,2.522678730368636e-06
2019-02-05,2.537876970827332e-06
2019-02-06,2.539022205838186e-06
2019-02-07,2.521017512462929e-06
2019-02-08,2.5097708312501393e-06
2019-02-09,2.5054749812874882e-06
2019-02-10,2.5038341126123258e-06
2019-02-11,2.5077808080662378e-06
2019-02-12,2.52356489672651e-06
2019-02-13,2.500200185608347e-06
2019-02-14,2.4758618924191095e-06
2019-02-15,2.4846986088789023e-06
2019-02-16,2.4880739342175977e-06
2019-02-17,2.4893631937738904e-06
2019-02-18,2.478885543803763e-06
2019-02-19,2.4663174865533252e-06
2019-02-20,2.479606770706922e-06
2019-02-21,2.47381160770533e-06
2019-02-22,2.4829698778020658e-06
2019-02-23,2.486468025700867e-06
2019-02-24,2.487804199300535e-06
2019-02-25,2.4920227761332375e-06
2019-02-26,2.493257128366039e-06
2019-02-27,2.491645834422793e-06
2019-02-28,2.4877053520428656e-06
2019-03-01,2.481713294947479e-06
2019-03-02,2.479424532799571e-06
2019-03-03,2.478550303451235e-06
2019-03-04,2.4756082741216083e-06
2019-03-05,2.469812181958641e-06
2019-03-06,2.4847857969814487e-06
2019-03-07,2.479751417581457e-06
2019-03-08,2.4778284557629224e-06
2019-03-09,2.4770939497073106e-06
2019-03-10,2.4768133933590098e-06
2019-03-11,2.470093266690094e-06
2019-03-12,2.4689540652252855e-06
2019-03-13,2.469977489199212e-06
2019-03-14,2.462445206636577e-06
2019-03-15,2.471273694457441e-06
2019-03-16,2.4746458767357468e-06
2019-03-17,2.4759339357497998e-06
2019-03-18,2.480733627415239e-06
2019-03-19,2.4884877121081414e-06
2019-03-20,2.498216981085996e-06
2019-03-21,2.504145792829571e-06
2019-03-22,2.4970719038327063e-06
2019-03-23,2.4943699186685476e-06
2019-03-24,2.493337852172937e-06
2019-03-25,2.495965824055251e-06
2019-03-26,2.5062648511836144e-06
2019-03-27,2.494655174678532e-06
2019-03-28,2.493261400076631e-06
2019-03-29,2.495633785298486e-06
2019-03-30,2.4965399558188267e-06
2019-03-31,2.4968860821579936e-06
2019-04-01,2.5119438114834634e-06
2019-04-02,2.5217249338990463e-06
2019-04-03,2.5282730448624875e-06
2019-04-04,2.532739548772641e-06
2019-04-05,2.537838608053672e-06
2019-04-06,2.5397862753883753e-06
2019-04-07,2.540530218111454e-06
