Date,Value
2019-01-01,6.715915384678646e-08
2019-01-02,6.711142153871459e-08
2019-01-03,6.70919005918133e-08
2019-01-04,6.70844266968698e-08
2019-01-05,6.708162929992778e-08
2019-01-06,6.70806223506162e-08
2019-01-07,6.708029952080915e-08
2019-01-08,6.708023801358397e-08
2019-01-09,6.708027632329433e-08
2019-01-10,6.707979652911507e-08
2019-01-11,6.69442638206265e-08
2019-01-12,6.69272284426217e-08
2019-01-13,6.692072150723302e-08
2019-01-14,6.691823607907701e-08
2019-01-15,6.708743148710079e-08
2019-01-16,6.708407464346304e-08
2019-01-17,6.688483615669176e-08
2019-01-18,6.661226082158862e-08
2019-01-19,6.643837027074426e-08
2019-01-20,6.637194999064415e-08
2019-01-21,6.63465797011882e-08
2019-01-22,6.635697521755482e-08
2019-01-23,6.647620929037811e-08
2019-01-24,6.638695944063319e-08
2019-01-25,6.614879420843624e-08
2019-01-26,6.600553750922728e-08
2019-01-27,6.595081831924557e-08
2019-01-28,6.592991744850942e-08
2019-01-29,6.592996846813643e-08
2019-01-30,6.61841235320738e-08
2019-01-31,6.613132888581313e-08
2019-02-01,6.56531999397019e-08
2019-02-02,6.565746441149056e-08
2019-02-03,6.565909329476975e-08
2019-02-04,6.56597154728187e-08
2019-02-05,6.56140950017211e-08
2019-02-06,6.55862865613336e-08
2019-02-07,6.563715906416031e-08
2019-02-08,6.587370597139518e-08
2019-02-09,6.59905725081426e-08
2019-02-10,6.603521155303262e-08
2019-02-11,6.605226215095529e-08
2019-02-12,6.580470112705817e-08
2019-02-13,6.574907737151043e-08
2019-02-14,6.57053345502826e-08
2019-02-15,6.622297846601054e-08
2019-02-16,6.652051333693215e-08
2019-02-17,6.663416154478589e-08
2019-02-18,6.667757129742551e-08
2019-02-19,6.64114636010364e-08
2019-02-20,6.628213158298772e-08
2019-02-21,6.601926220821253e-08
2019-02-22,6.572312367741273e-08
2019-02-23,6.559443436750917e-08
2019-02-24,6.554527942511477e-08
2019-02-25,6.552650390783515e-08
2019-02-26,6.53606829734786e-08
2019-02-27,6.551983724855063e-08
2019-02-28,6.566641188981179e-08
2019-03-01,6.580428792439409e-08
2019-03-02,6.581059933421422e-08
2019-03-03,6.581301007824858e-08
2019-03-04,6.581393090053153e-08
2019-03-05,6.580260178095865e-08
2019-03-06,6.580124100549042e-08
2019-03-07,6.582704948343336e-08
2019-03-08,6.591206037784165e-08
2019-03-09,6.594453165009159e-08
2019-03-10,6.595693457243311e-08
2019-03-11,6.596167206720774e-08
2019-03-12,6.60325160257335e-08
2019-03-13,6.58686653108679e-08
2019-03-14,6.569582264327722e-08
2019-03-15,6.551429206646644e-08
2019-03-16,6.545607816791959e-08
2019-03-17,6.543384243729234e-08
2019-03-18,6.54253491439574e-08
2019-03-19,6.495814687922534e-08
2019-03-20,6.456171090588653e-08
2019-03-21,6.438778940124375e-08
2019-03-22,6.398866960170068e-08
2019-03-23,6.385383337253762e-08
2019-03-24,6.380233051591221e-08
2019-03-25,6.378265817519902e-08
2019-03-26,6.422556718068577e-08
2019-03-27,6.419017411658208e-08
2019-03-28,6.443882518708819e-08
2019-03-29,6.466278513813457e-08
2019-03-30,6.470723096706366e-08
2019-03-31,6.472420776305641e-08
2019-04-01,6.473069232210557e-08
2019-04-02,6.515522461417759e-08
2019-04-03,6.535137338980844e-08
2019-04-04,6.523550846292066e-08
2019-04-05,6.529273317990629e-08
2019-04-06,6.536347756530833e-08
2019-04-07,6.53904995160187e-08
2019-04-08,6.540082098274773e-08
2019-04-09,6.536928828127021e-08
2019-04-10,6.500298677871146e-08
2019-04-11,6.48387833191063e-08
2019-04-12,6.456704408361224e-08
2019-04-13,6.453617694240291e-08
2019-04-14,6.452438674359649e-08
2019-04-15,6.451988328838655e-08
2019-04-16,6.435117033780295e-08
2019-04-17,6.428382296527517e-08
2019-04-18,6.407441885656608e-08
2019-04-19,6.407094621223033e-08
2019-04-20,6.400250128894668e-08
2019-04-21,6.39763576546097e-08
2019-04-22,6.396637167488242e-08
2019-04-23,6.385489584919734e-08
2019-04-24,6.381515882905785e-08
2019-04-25,6.391691266864768e-08
2019-04-26,6.438815575541462e-08
2019-04-27,6.45841616779048e-08
2019-04-28,6.465902927829976e-08
2019-04-29,6.46876261569945e-08
2019-04-30,6.469014393043673e-08
2019-05-01,6.465383818479407e-08
2019-05-02,6.463997062394548e-08
2019-05-03,6.463467368704239e-08
2019-05-04,6.463265043718166e-08
2019-05-05,6.46318776245026e-08
2019-05-06,6.463158243632614e-08
2019-05-07,6.506631839896023e-08
2019-05-08,6.515919753628656e-08
2019-05-09,6.520215242116332e-08
2019-05-10,6.52185597272034e-08
2019-05-11,6.52248267604469e-08
2019-05-12,6.522722055413729e-08
2019-05-13,6.522813490196496e-08
2019-05-14,6.537780116343956e-08
2019-05-15,6.53297792034685e-08
2019-05-16,6.503257951124199e-08
2019-05-17,6.474038570410988e-08
2019-05-18,6.46738322788675e-08
2019-05-19,6.464841113249265e-08
2019-05-20,6.463870111861044e-08
2019-05-21,6.454605713235755e-08
2019-05-22,6.454058312351772e-08
2019-05-23,6.446333930516364e-08
2019-05-24,6.448061996492158e-08
2019-05-25,6.456095204445895e-08
2019-05-26,6.459163616845526e-08
2019-05-27,6.460335646090683e-08
2019-05-28,6.451698221791902e-08
2019-05-29,6.453083716919745e-08
2019-05-30,6.476418383152205e-08
2019-05-31,6.494595762028231e-08
2019-06-01,6.521631187906748e-08
2019-06-02,6.531957801692013e-08
2019-06-03,6.53590221716929e-08
2019-06-04,6.547995772043145e-08
2019-06-05,6.528307822182613e-08
2019-06-06,6.518494788406432e-08
2019-06-07,6.521526375893267e-08
2019-06-08,6.510663578192184e-08
2019-06-09,6.506514358683285e-08
2019-06-10,6.50492949785767e-08
2019-06-11,6.489021613328275e-08
2019-06-12,6.46588142369777e-08
2019-06-13,6.457042657765034e-08
2019-06-14,6.460811022507283e-08
2019-06-15,6.449963894060468e-08
2019-06-16,6.44582065967412e-08
2019-06-17,6.444238084961892e-08
2019-06-18,6.436594188079697e-08
2019-06-19,6.434694235358635e-08
2019-06-20,6.411978868676486e-08
2019-06-21,6.366733299556491e-08
2019-06-22,6.333493392403462e-08
2019-06-23,6.320796877653896e-08
2019-06-24,6.315947240558225e-08
2019-06-25,6.300498096268285e-08
2019-06-26,6.270703854241559e-08
2019-06-27,6.276962156495311e-08
2019-06-28,6.293993840437859e-08
2019-06-29,6.302378188144068e-08
2019-06-30,6.305580723994342e-08
2019-07-01,6.306803983838957e-08
2019-07-02,6.305942454446714e-08
2019-07-03,6.316268285467232e-08
2019-07-04,6.336812794892805e-08
2019-07-05,6.338862940396706e-08
2019-07-06,6.350943687611661e-08
2019-07-07,6.355558122438279e-08
2019-07-08,6.357320679703176e-08
2019-07-09,6.37565732806972e-08
2019-07-10,6.376239931362874e-08
2019-07-11,6.378489617502e-08
2019-07-12,6.329634267088085e-08
2019-07-13,6.312580072133006e-08
2019-07-14,6.306065949310933e-08
2019-07-15,6.303577775799792e-08
2019-07-16,6.290736404144895e-08
2019-07-17,6.284898205311882e-08
2019-07-18,6.290838621122025e-08
2019-07-19,6.285907562085256e-08
2019-07-20,6.286372594290991e-08
2019-07-21,6.286550220787719e-08
2019-07-22,6.286618068072166e-08
2019-07-23,6.293504160703906e-08
2019-07-24,6.305491448629223e-08
2019-07-25,6.309279101678163e-08
2019-07-26,6.31325979575914e-08
2019-07-27,6.31292000329312e-08
2019-07-28,6.312790214120223e-08
2019-07-29,6.312740639067547e-08
2019-07-30,6.337066061899278e-08
2019-07-31,6.337587644329927e-08
2019-08-01,6.340141580587635e-08
2019-08-02,6.366876754084076e-08
2019-08-03,6.427044368975245e-08
2019-08-04,6.450026352841657e-08
2019-08-05,6.458804689549725e-08
2019-08-06,6.487639257163674e-08
2019-08-07,6.507824706334343e-08
2019-08-08,6.508748848642882e-08
2019-08-09,6.511370024333014e-08
2019-08-10,6.520059567176207e-08
2019-08-11,6.52337867719561e-08
2019-08-12,6.524646464410621e-08
2019-08-13,6.535909228800052e-08
2019-08-14,6.550903209994903e-08
2019-08-15,6.532001746732977e-08
2019-08-16,6.567271866930584e-08
2019-08-17,6.5872579323002e-08
2019-08-18,6.594891929970016e-08
2019-08-19,6.597807857609848e-08
2019-08-20,6.636751503310909e-08
2019-08-21,6.662491689845105e-08
2019-08-22,6.640123995410536e-08
2019-08-23,6.591815989550334e-08
2019-08-24,6.572436922257341e-08
2019-08-25,6.565034777221689e-08
2019-08-26,6.562207409407727e-08
2019-08-27,6.583926724846474e-08
2019-08-28,6.609978881628479e-08
2019-08-29,6.629317856328076e-08
2019-08-30,6.657371743939543e-08
2019-08-31,6.652179180620133e-08
2019-09-01,6.650195797920853e-08
2019-09-02,6.649438213142428e-08
2019-09-03,6.657418136275902e-08
2019-09-04,6.677999819946112e-08
2019-09-05,6.660707340220312e-08
2019-09-06,6.626451360058155e-08
2019-09-07,6.609986094035692e-08
2019-09-08,6.603696922048919e-08
2019-09-09,6.601294672111066e-08
2019-09-10,6.57390669854612e-08
2019-09-11,6.555380079974108e-08
2019-09-12,6.547858556904305e-08
2019-09-13,6.53007861093016e-08
2019-09-14,6.478801189375954e-08
2019-09-15,6.459214957197705e-08
2019-09-16,6.45173368221716e-08
2019-09-17,6.409080880918171e-08
2019-09-18,6.410965340146487e-08
2019-09-19,6.430702045355124e-08
2019-09-20,6.425317705214126e-08
2019-09-21,6.40031964862486e-08
2019-09-22,6.390771240660454e-08
2019-09-23,6.387124073356501e-08
2019-09-24,6.391701187740371e-08
2019-09-25,6.378659936513829e-08
2019-09-26,6.403424597679648e-08
2019-09-27,6.419156901510928e-08
2019-09-28,6.433002777830487e-08
2019-09-29,6.43829143198053e-08
2019-09-30,6.440311518111104e-08
2019-10-01,6.45499506743954e-08
2019-10-02,6.486950473147926e-08
2019-10-03,6.52220283944472e-08
2019-10-04,6.516589335953526e-08
2019-10-05,6.508190664449708e-08
2019-10-06,6.504982657395594e-08
2019-10-07,6.503757307737072e-08
2019-10-08,6.490675192105235e-08
2019-10-09,6.488230748952164e-08
2019-10-10,6.501536557852056e-08
2019-10-11,6.484616914604508e-08
2019-10-12,6.446146205684109e-08
2019-10-13,6.43145170244782e-08
2019-10-14,6.425838901659353e-08
2019-10-15,6.432440183471054e-08
2019-10-16,6.428138553518007e-08
2019-10-17,6.43210104536093e-08
2019-10-18,6.413151477197273e-08
2019-10-19,6.402192821618615e-08
2019-10-20,6.398006987658571e-08
2019-10-21,6.396408141357098e-08
2019-10-22,6.383832298390524e-08
2019-10-23,6.371179722157351e-08
2019-10-24,6.376612412634663e-08
2019-10-25,6.382414260698801e-08
2019-10-26,6.393072713748061e-08
2019-10-27,6.397143880545385e-08
2019-10-28,6.398698927888092e-08
2019-10-29,6.391468592821318e-08
2019-10-30,6.38635832141861e-08
2019-10-31,6.386965032147937e-08
2019-11-01,6.381102959896127e-08
2019-11-02,6.394734960371539e-08
2019-11-03,6.399941921218492e-08
2019-11-04,6.401930803283938e-08
2019-11-05,6.402690488633324e-08
2019-11-06,6.354551519257592e-08
2019-11-07,6.35717722475695e-08
2019-11-08,6.36694387697373e-08
2019-11-09,6.370655865144579e-08
2019-11-10,6.372073718460005e-08
2019-11-11,6.372615290235436e-08
2019-11-12,6.384107452880876e-08
2019-11-13,6.38484448753368e-08
2019-11-14,6.406627412188774e-08
2019-11-15,6.415516340302291e-08
2019-11-16,6.399010914280354e-08
2019-11-17,6.392706402538772e-08
2019-11-18,6.39029829333596e-08
2019-11-19,6.381103002359746e-08
2019-11-20,6.378752617642127e-08
2019-11-21,6.393200634507294e-08
2019-11-22,6.387699739860346e-08
2019-11-23,6.377384913363258e-08
2019-11-24,6.373445000229429e-08
2019-11-25,6.371940087325028e-08
2019-11-26,6.374677923925355e-08
2019-11-27,6.391804928838308e-08
2019-11-28,6.395151626867734e-08
2019-11-29,6.404359327840552e-08
2019-11-30,6.406714452755073e-08
2019-12-01,6.407614030424669e-08
2019-12-02,6.407957638518934e-08
2019-12-03,6.42836039996313e-08
2019-12-04,6.41949136503376e-08
2019-12-05,6.419484341056613e-08
2019-12-06,6.395916022145046e-08
2019-12-07,6.3810424024854e-08
2019-12-08,6.375361185311154e-08
2019-12-09,6.373191153448062e-08
2019-12-10,6.372726915086393e-08
2019-12-11,6.363551016934919e-08
2019-12-12,6.35921178983355e-08
2019-12-13,6.336565918307785e-08
2019-12-14,6.286427343425027e-08
2019-12-15,6.267276111967295e-08
2019-12-16,6.259960992476858e-08
2019-12-17,6.2704051535023e-08
2019-12-18,6.259808865895544e-08
2019-12-19,6.25888251582752e-08
2019-12-20,6.255141855328667e-08
2019-12-21,6.246222478214829e-08
2019-12-22,6.242815579315821e-08
2019-12-23,6.241514259732636e-08
2019-12-24,6.231301705578935e-08
2019-12-25,6.222295896257096e-08
2019-12-26,6.190988830639623e-08
2019-12-27,6.18219492968417e-08
2019-12-28,6.195145875375997e-08
