Date,Value
2019-01-01,1.4180662599738677e-05
2019-01-02,1.6146744579895472e-05
2019-01-03,1.7329417448882875e-05
2019-01-04,1.778596396080816e-05
2019-01-05,1.7960619260982893e-05
2019-01-06,1.73611799786587e-05
2019-01-07,1.7465542573718816e-05
2019-01-08,1.729149946845741e-05
2019-01-09,1.7295929718560747e-05
2019-01-10,1.7545409736785352e-05
2019-01-11,1.7640702625655947e-05
2019-01-12,1.7677101270397633e-05
2019-01-13,1.734394063401075e-05
2019-01-14,1.7380871070827627e-05
2019-01-15,1.73893961631732e-05
2019-01-16,1.7838149367293312e-05
2019-01-17,1.7764236094689126e-05
2019-01-18,1.773600373677406e-05
2019-01-19,1.772521993563306e-05
2019-01-20,1.722860240953654e-05
2019-01-21,1.7057768979300564e-05
2019-01-22,1.7173603471037196e-05
2019-01-23,1.6827039716544967e-05
2019-01-24,1.640643485578381e-05
2019-01-25,1.6245778094806466e-05
2019-01-26,1.618441267263559e-05
2019-01-27,1.6031758022391546e-05
2019-01-28,1.6003595954902004e-05
2019-01-29,1.5805314054068835e-05
2019-01-30,1.5670305076761993e-05
2019-01-31,1.5289394566817657e-05
2019-02-01,1.5143899698690974e-05
2019-02-02,1.5088325604255265e-05
2019-02-03,1.5038232003738328e-05
2019-02-04,1.490100964606099e-05
2019-02-05,1.4706916302383068e-05
2019-02-06,1.4592782708362743e-05
2019-02-07,1.4238935624590981e-05
2019-02-08,1.41037780654102e-05
2019-02-09,1.4052152471639617e-05
2019-02-10,1.3970943265557897e-05
2019-02-11,1.3777832757539888e-05
2019-02-12,1.379964003891064e-05
2019-02-13,1.3641928134411158e-05
2019-02-14,1.3764583175015202e-05
2019-02-15,1.3811433231634448e-05
2019-02-16,1.3829328360888141e-05
2019-02-17,1.36461803609397e-05
2019-02-18,1.3721750369920026e-05
2019-02-19,1.3925640277285235e-05
2019-02-20,1.3697737919331594e-05
2019-02-21,1.3427365824324128e-05
2019-02-22,1.3324092873640793e-05
2019-02-23,1.328464611659825e-05
2019-02-24,1.309665316854327e-05
2019-02-25,1.3082342669688324e-05
2019-02-26,1.3339236790084904e-05
2019-02-27,1.3562462748517429e-05
2019-02-28,1.3431144982639352e-05
2019-03-01,1.3380986059400628e-05
2019-03-02,1.3361827055562532e-05
2019-03-03,1.3404026301630423e-05
2019-03-04,1.3288356041962377e-05
2019-03-05,1.3063720230545834e-05
2019-03-06,1.2985819776400729e-05
2019-03-07,1.2815966344203633e-05
2019-03-08,1.2751088106210169e-05
2019-03-09,1.272630682442687e-05
2019-03-10,1.2708111522825316e-05
2019-03-11,1.2516888526907681e-05
2019-03-12,1.2253861672795368e-05
2019-03-13,1.2087974739231788e-05
2019-03-14,1.1822915969012049e-05
2019-03-15,1.1721672527804356e-05
2019-03-16,1.1683000974401019e-05
2019-03-17,1.1530400166805015e-05
2019-03-18,1.1492732086141206e-05
2019-03-19,1.1503317602871931e-05
2019-03-20,1.121138282946406e-05
2019-03-21,1.101417683955121e-05
2019-03-22,1.093885085418957e-05
2019-03-23,1.0910078888017501e-05
2019-03-24,1.0677014931611458e-05
2019-03-25,1.069046449666377e-05
2019-03-26,1.1028682696121396e-05
2019-03-27,1.0850173266078735e-05
2019-03-28,1.071049828542314e-05
2019-03-29,1.0657147190190688e-05
2019-03-30,1.0636768885148924e-05
2019-03-31,1.0471404843967288e-05
2019-04-01,1.0218202237708184e-05
2019-04-02,1.0527510648885926e-05
2019-04-03,1.0961181994477505e-05
2019-04-04,1.193501859956631e-05
2019-04-05,1.2306991083221425e-05
2019-04-06,1.2449071929097965e-05
2019-04-07,1.2217369250597609e-05
2019-04-08,1.2530275758694857e-05
2019-04-09,1.216348414935828e-05
2019-04-10,1.2088784579263549e-05
2019-04-11,1.1978517349709616e-05
2019-04-12,1.1936399015865302e-05
2019-04-13,1.1920311243886288e-05
2019-04-14,1.1527473214953794e-05
2019-04-15,1.1294883755418054e-05
2019-04-16,1.1333624119970208e-05
2019-04-17,1.10163808620787e-05
2019-04-18,1.0895204720265893e-05
2019-04-19,1.0848919552718977e-05
2019-04-20,1.0831240191891038e-05
2019-04-21,1.082448727695414e-05
2019-04-22,1.0821907892971382e-05
2019-04-23,1.0639399790530633e-05
2019-04-24,1.0653737560707692e-05
2019-04-25,1.0615097168019776e-05
2019-04-26,1.0600337851351635e-05
2019-04-27,1.0594700294035128e-05
2019-04-28,1.0721958672657913e-05
2019-04-29,1.0728577469553744e-05
2019-04-30,1.0595373035003972e-05
2019-05-01,1.0671451993698242e-05
2019-05-02,1.0776405933777684e-05
2019-05-03,1.0816494771634812e-05
2019-05-04,1.083180734512675e-05
2019-05-05,1.0740191887010646e-05
2019-05-06,1.0627705756140635e-05
2019-05-07,1.0732497339653886e-05
2019-05-08,1.082451788519332e-05
2019-05-09,1.0659749712802023e-05
2019-05-10,1.059681387121275e-05
2019-05-11,1.0572774518836227e-05
2019-05-12,1.0464017825800264e-05
2019-05-13,1.0426507820928764e-05
2019-05-14,1.0460272566571372e-05
2019-05-15,1.0235573266618923e-05
2019-05-16,9.845314977232317e-06
2019-05-17,9.696249575078025e-06
2019-05-18,9.639311658001758e-06
2019-05-19,9.614151876881702e-06
2019-05-20,9.515064435581677e-06
2019-05-21,9.43551135049406e-06
2019-05-22,9.380361676807042e-06
2019-05-23,9.204296798820676e-06
2019-05-24,9.137045999654986e-06
