Date,Value
2019-01-01,3.896639192582242e-06
2019-01-02,3.768660178632897e-06
2019-01-03,3.759090354858807e-06
2019-01-04,3.8013886988577797e-06
2019-01-05,3.817570248327692e-06
2019-01-06,3.823752446236759e-06
2019-01-07,3.837318072318303e-06
2019-01-08,3.900129634716447e-06
2019-01-09,4.036890660542972e-06
2019-01-10,4.099048130379149e-06
2019-01-11,4.064855344124303e-06
2019-01-12,4.051794861916563e-06
2019-01-13,4.066450436761016e-06
2019-01-14,3.9928831912097305e-06
2019-01-15,4.04333929371306e-06
2019-01-16,4.086681366113602e-06
2019-01-17,4.08532134516911e-06
2019-01-18,4.135199725593765e-06
2019-01-19,4.154251571612187e-06
2019-01-20,4.144080545702588e-06
2019-01-21,4.154908575533376e-06
2019-01-22,4.109446319459133e-06
2019-01-23,4.084363142133241e-06
2019-01-24,4.064491198554304e-06
2019-01-25,4.066869038248925e-06
2019-01-26,4.067777292192472e-06
2019-01-27,4.053991435438186e-06
2019-01-28,3.989971998171472e-06
2019-01-29,4.0226385565973335e-06
2019-01-30,4.0642300335814856e-06
2019-01-31,4.080681177131987e-06
2019-02-01,4.093359834076557e-06
2019-02-02,4.0982026500976825e-06
2019-02-03,4.110416513143653e-06
2019-02-04,4.106706045881904e-06
2019-02-05,4.080938995145155e-06
2019-02-06,4.099225313022633e-06
2019-02-07,4.067044595321602e-06
2019-02-08,4.087310668164567e-06
2019-02-09,4.0950516191720975e-06
2019-02-10,4.093816342542562e-06
2019-02-11,4.075093920916569e-06
2019-02-12,4.089237748081234e-06
2019-02-13,4.145401165877528e-06
2019-02-14,4.204390449036044e-06
2019-02-15,4.330516771092868e-06
2019-02-16,4.378692739242559e-06
2019-02-17,4.414503880121131e-06
2019-02-18,4.427691934282686e-06
2019-02-19,4.411883376205084e-06
2019-02-20,4.42978176399933e-06
2019-02-21,4.421891825908973e-06
2019-02-22,4.407775735599511e-06
2019-02-23,4.402383868889559e-06
2019-02-24,4.40578176540389e-06
2019-02-25,4.30501945599786e-06
2019-02-26,4.274406851848469e-06
2019-02-27,4.325076644152939e-06
2019-02-28,4.335495501831007e-06
2019-03-01,4.305789242775137e-06
2019-03-02,4.294442461494404e-06
2019-03-03,4.297468561372182e-06
2019-03-04,4.312653442405985e-06
2019-03-05,4.325412614177132e-06
2019-03-06,4.335768256851742e-06
2019-03-07,4.354076057153975e-06
2019-03-08,4.3432213697517994e-06
2019-03-09,4.339075248101424e-06
2019-03-10,4.3407530397408155e-06
2019-03-11,4.372377856410284e-06
2019-03-12,4.392729137544469e-06
2019-03-13,4.423543528837974e-06
2019-03-14,4.414894106801552e-06
2019-03-15,4.40099509667079e-06
2019-03-16,4.395686147210818e-06
2019-03-17,4.39400111943651e-06
2019-03-18,4.409125915784205e-06
2019-03-19,4.386365094911302e-06
2019-03-20,4.398310984319739e-06
2019-03-21,4.375907359567859e-06
2019-03-22,4.312076129639461e-06
2019-03-23,4.287694769350521e-06
2019-03-24,4.275227225719929e-06
2019-03-25,4.281894625388342e-06
2019-03-26,4.345009984102505e-06
2019-03-27,4.349661187321857e-06
2019-03-28,4.368821577581703e-06
2019-03-29,4.4077159956568875e-06
2019-03-30,4.42257234138896e-06
2019-03-31,4.428246960509992e-06
2019-04-01,4.452408805540339e-06
2019-04-02,4.505318761112907e-06
2019-04-03,4.525458724249448e-06
2019-04-04,4.523552667719801e-06
2019-04-05,4.5678198999152996e-06
2019-04-06,4.584728478026097e-06
2019-04-07,4.6110134937610025e-06
2019-04-08,4.635387781639509e-06
2019-04-09,4.622385333121253e-06
2019-04-10,4.63724298447215e-06
2019-04-11,4.605167004713376e-06
2019-04-12,4.606766847673797e-06
2019-04-13,4.607377933308016e-06
2019-04-14,4.610121918065354e-06
2019-04-15,4.599124163883996e-06
2019-04-16,4.604478503889361e-06
2019-04-17,4.602344964103817e-06
2019-04-18,4.6022069483974905e-06
2019-04-19,4.602154231088656e-06
2019-04-20,4.602134094868476e-06
2019-04-21,4.625298780661314e-06
2019-04-22,4.693476846206103e-06
2019-04-23,4.730075591476992e-06
2019-04-24,4.746632382440144e-06
2019-04-25,4.752976963352061e-06
2019-04-26,4.699604627571413e-06
2019-04-27,4.679218209362178e-06
2019-04-28,4.654762625086875e-06
2019-04-29,4.65884609116921e-06
2019-04-30,4.690186390064889e-06
2019-05-01,4.67467871949718e-06
2019-05-02,4.611634821651751e-06
2019-05-03,4.5915486356521225e-06
2019-05-04,4.583876395304617e-06
2019-05-05,4.535213514480061e-06
2019-05-06,4.577936610534024e-06
2019-05-07,4.570318222651116e-06
2019-05-08,4.582044749708526e-06
2019-05-09,4.587856397273939e-06
2019-05-10,4.599348366450945e-06
2019-05-11,4.603737908078895e-06
