Date,Value
2019-01-01,2.30896305315116e-06
2019-01-02,2.306196204431784e-06
2019-01-03,2.3030903001260364e-06
2019-01-04,2.3257377632369667e-06
2019-01-05,2.3174938682276605e-06
2019-01-06,2.3092297172870975e-06
2019-01-07,2.2939960554879623e-06
2019-01-08,2.287563413876199e-06
2019-01-09,2.3165852625596127e-06
2019-01-10,2.3448120934651567e-06
2019-01-11,2.3436571902041638e-06
2019-01-12,2.3461009942410477e-06
2019-01-13,2.349548306006573e-06
2019-01-14,2.3434167369114494e-06
2019-01-15,2.3428025530661703e-06
2019-01-16,2.3348428987972423e-06
2019-01-17,2.3422398469828226e-06
2019-01-18,2.3654846651868167e-06
2019-01-19,2.3698596539768704e-06
2019-01-20,2.364849237686726e-06
2019-01-21,2.365338805053222e-06
2019-01-22,2.3688274521240634e-06
2019-01-23,2.3813564046394646e-06
2019-01-24,2.381655330417774e-06
2019-01-25,2.4058354650783744e-06
2019-01-26,2.4197916065814648e-06
2019-01-27,2.4399231493126193e-06
2019-01-28,2.4240279598379293e-06
2019-01-29,2.455164081658838e-06
2019-01-30,2.4734566123252728e-06
2019-01-31,2.4750357647661237e-06
2019-02-01,2.486394507447641e-06
2019-02-02,2.498267568490166e-06
2019-02-03,2.517694287045392e-06
2019-02-04,2.523946014964298e-06
2019-02-05,2.531980823260573e-06
2019-02-06,2.527918927501946e-06
2019-02-07,2.5159119723456565e-06
2019-02-08,2.5178912538542874e-06
2019-02-09,2.54982191881632e-06
2019-02-10,2.5620847173952988e-06
2019-02-11,2.54443763721649e-06
2019-02-12,2.5562796031168183e-06
2019-02-13,2.519816883815344e-06
2019-02-14,2.4960329692688546e-06
2019-02-15,2.506033734053304e-06
2019-02-16,2.4942533935749666e-06
2019-02-17,2.4851252254683563e-06
2019-02-18,2.486007233490476e-06
2019-02-19,2.4917958161362737e-06
2019-02-20,2.5133250933626864e-06
2019-02-21,2.496852296395163e-06
2019-02-22,2.515631644849413e-06
2019-02-23,2.514070643170837e-06
2019-02-24,2.5068500380258217e-06
2019-02-25,2.5035464258306107e-06
2019-02-26,2.5002110205656045e-06
2019-02-27,2.499098553845965e-06
2019-02-28,2.498605715410958e-06
2019-03-01,2.4844998549080856e-06
2019-03-02,2.489850444120951e-06
2019-03-03,2.4816015647930607e-06
2019-03-04,2.4772475909466006e-06
2019-03-05,2.4882186239575738e-06
2019-03-06,2.5118024211755573e-06
2019-03-07,2.48918835529934e-06
2019-03-08,2.4738051703462788e-06
2019-03-09,2.514934203109105e-06
2019-03-10,2.507662757797515e-06
2019-03-11,2.5137549526165024e-06
2019-03-12,2.615423708705518e-06
2019-03-13,2.571335236901372e-06
2019-03-14,2.5657276284802902e-06
2019-03-15,2.5705129435744076e-06
2019-03-16,2.5800896518005956e-06
2019-03-17,2.59271821544945e-06
2019-03-18,2.5956897018129646e-06
