Date,Value
2019-01-01,6.723880769357293e-08
2019-01-02,6.725194495960349e-08
2019-01-03,6.7314200989254e-08
2019-01-04,6.73187396849694e-08
2019-01-05,6.744547973854347e-08
2019-01-06,6.750645212208974e-08
2019-01-07,6.755788669847676e-08
2019-01-08,6.758031026563481e-08
2019-01-09,6.760196943880665e-08
2019-01-10,6.761725806797594e-08
2019-01-11,6.735218214745625e-08
2019-01-12,6.742952339499654e-08
2019-01-13,6.755936191603068e-08
2019-01-14,6.749532612309733e-08
2019-01-15,6.755929510038718e-08
2019-01-16,6.727064656667356e-08
2019-01-17,6.697103593254318e-08
2019-01-18,6.686193084035996e-08
2019-01-19,6.67176024106439e-08
2019-01-20,6.684242680995994e-08
2019-01-21,6.661829339126673e-08
2019-01-22,6.66557380950204e-08
2019-01-23,6.661817469622676e-08
2019-01-24,6.646988050274678e-08
2019-01-25,6.62288727729058e-08
2019-01-26,6.613461151987494e-08
2019-01-27,6.601208491042005e-08
2019-01-28,6.613913876987942e-08
2019-01-29,6.606084606152973e-08
2019-01-30,6.6228514148337e-08
2019-01-31,6.588747183712002e-08
2019-02-01,6.545750428158708e-08
2019-02-02,6.559370298579352e-08
2019-02-03,6.559612734742766e-08
2019-02-04,6.555786677107515e-08
2019-02-05,6.55921686174656e-08
2019-02-06,6.570319911189736e-08
2019-02-07,6.590956220775814e-08
2019-02-08,6.611795532037382e-08
2019-02-09,6.582120700335961e-08
2019-02-10,6.590208234686605e-08
2019-02-11,6.590723483066225e-08
2019-02-12,6.548082237978138e-08
2019-02-13,6.54867493703478e-08
2019-02-14,6.551307464263172e-08
2019-02-15,6.61808353536259e-08
2019-02-16,6.625702544718229e-08
2019-02-17,6.641308472911293e-08
2019-02-18,6.646851053603443e-08
2019-02-19,6.60034001905333e-08
2019-02-20,6.594861670168989e-08
2019-02-21,6.583597139595714e-08
2019-02-22,6.549676219235298e-08
2019-02-23,6.545467849589512e-08
2019-02-24,6.555746531474915e-08
2019-02-25,6.548013905003894e-08
2019-02-26,6.536775544994035e-08
2019-02-27,6.558473278278582e-08
2019-02-28,6.572272570569014e-08
2019-03-01,6.58600175038282e-08
2019-03-02,6.588927062976218e-08
2019-03-03,6.573356198837414e-08
2019-03-04,6.58542385816235e-08
2019-03-05,6.594335301878814e-08
2019-03-06,6.600332636247435e-08
2019-03-07,6.596791893219639e-08
2019-03-08,6.606523238849861e-08
2019-03-09,6.593424976973605e-08
2019-03-10,6.583716891511997e-08
2019-03-11,6.517210872168448e-08
2019-03-12,6.515090428367261e-08
2019-03-13,6.432008131636953e-08
2019-03-14,6.4783370773523e-08
2019-03-15,6.461219287769908e-08
2019-03-16,6.454060201081044e-08
2019-03-17,6.352874740129457e-08
2019-03-18,6.361648566769861e-08
2019-03-19,6.177839526499058e-08
2019-03-20,6.070001052338142e-08
2019-03-21,6.116272646528826e-08
2019-03-22,6.080252415865147e-08
2019-03-23,6.07248064022508e-08
2019-03-24,6.069604775732165e-08
2019-03-25,6.064683830695219e-08
2019-03-26,6.009135486017067e-08
2019-03-27,5.938238143080006e-08
2019-03-28,6.000056536746018e-08
2019-03-29,6.001767077373218e-08
2019-03-30,5.992952592720863e-08
2019-03-31,5.987510666981964e-08
2019-04-01,6.040782060590959e-08
2019-04-02,6.129564506871275e-08
2019-04-03,6.162992531819048e-08
2019-04-04,6.157244829638854e-08
2019-04-05,6.154637629261481e-08
2019-04-06,6.15585714087947e-08
2019-04-07,6.146730583916969e-08
2019-04-08,6.179719198464451e-08
2019-04-09,6.198676564167713e-08
2019-04-10,6.2107171636941e-08
2019-04-11,6.176736283154148e-08
2019-04-12,6.159427976109064e-08
2019-04-13,6.157364421745317e-08
2019-04-14,6.187207478781749e-08
2019-04-15,6.230201828847892e-08
2019-04-16,6.24007091158309e-08
2019-04-17,6.238913541049881e-08
2019-04-18,6.210690253392693e-08
2019-04-19,6.185433575028065e-08
2019-04-20,6.189550923937352e-08
2019-04-21,6.188684776340822e-08
2019-04-22,6.197163823946731e-08
2019-04-23,6.194341154119102e-08
2019-04-24,6.255331766357185e-08
2019-04-25,6.288811630379387e-08
2019-04-26,6.330538924106786e-08
2019-04-27,6.345337472806468e-08
2019-04-28,6.29952753641641e-08
2019-04-29,6.297162836677276e-08
2019-04-30,6.284112793727321e-08
2019-05-01,6.252839011484941e-08
2019-05-02,6.265951941754458e-08
2019-05-03,6.277410932651421e-08
2019-05-04,6.299630853609288e-08
2019-05-05,6.290165658225168e-08
2019-05-06,6.317173015623517e-08
2019-05-07,6.382942400052395e-08
2019-05-08,6.408310742057561e-08
2019-05-09,6.439497792864747e-08
2019-05-10,6.47522342260294e-08
2019-05-11,6.455627761370635e-08
2019-05-12,6.447204497404882e-08
2019-05-13,6.4562034337257e-08
2019-05-14,6.485616169675546e-08
2019-05-15,6.47897360610561e-08
2019-05-16,6.437705348620389e-08
2019-05-17,6.409801611249189e-08
2019-05-18,6.419237632938341e-08
2019-05-19,6.379602145704673e-08
2019-05-20,6.396151572159344e-08
2019-05-21,6.386894462064151e-08
2019-05-22,6.415691511810991e-08
2019-05-23,6.403832891037196e-08
2019-05-24,6.405475457730135e-08
2019-05-25,6.428235681362397e-08
2019-05-26,6.423382368950327e-08
2019-05-27,6.417837247903589e-08
2019-05-28,6.40423948829734e-08
2019-05-29,6.431565294266606e-08
2019-05-30,6.477190147041673e-08
2019-05-31,6.478038657699655e-08
2019-06-01,6.516113853894277e-08
2019-06-02,6.538969867142688e-08
2019-06-03,6.535182228052744e-08
2019-06-04,6.599225807925437e-08
2019-06-05,6.57582651503856e-08
2019-06-06,6.606475184975409e-08
2019-06-07,6.590847593120306e-08
2019-06-08,6.58010809447295e-08
2019-06-09,6.569754027333814e-08
2019-06-10,6.589729391911904e-08
2019-06-11,6.633420802810935e-08
2019-06-12,6.54932958045097e-08
2019-06-13,6.496528027343115e-08
2019-06-14,6.489225103291512e-08
2019-06-15,6.652823908633267e-08
2019-06-16,6.663487064816256e-08
2019-06-17,6.777175692159376e-08
2019-06-18,6.727517655491822e-08
2019-06-19,6.717585532536781e-08
2019-06-20,6.697581148100232e-08
2019-06-21,6.684332477103071e-08
2019-06-22,6.655281458298046e-08
2019-06-23,6.794258468195622e-08
2019-06-24,6.908516877503617e-08
2019-06-25,6.824876779410523e-08
2019-06-26,6.81666370590455e-08
2019-06-27,6.830969647713063e-08
2019-06-28,6.96249196844353e-08
2019-06-29,6.880371983811821e-08
2019-06-30,6.838446805219313e-08
2019-07-01,6.900466151016856e-08
2019-07-02,6.873036422742229e-08
2019-07-03,6.883570212836697e-08
2019-07-04,6.888928017839663e-08
2019-07-05,6.862085961659368e-08
2019-07-06,6.870524010239854e-08
2019-07-07,6.873966916823731e-08
2019-07-08,6.886071374366041e-08
2019-07-09,6.915510258363636e-08
2019-07-10,6.907399546467351e-08
2019-07-11,6.910934111931079e-08
2019-07-12,6.806623713941946e-08
2019-07-13,6.770529770697614e-08
2019-07-14,6.779851311815818e-08
2019-07-15,6.735939388444311e-08
2019-07-16,6.706448151563195e-08
2019-07-17,6.689910286158977e-08
2019-07-18,6.683935378158053e-08
2019-07-19,6.665821251492367e-08
2019-07-20,6.657812596457847e-08
2019-07-21,6.658936374200448e-08
2019-07-22,6.673522333605992e-08
2019-07-23,6.601109865776623e-08
2019-07-24,6.592846074056809e-08
2019-07-25,6.608978553931291e-08
2019-07-26,6.632973134029657e-08
2019-07-27,6.687630303502878e-08
2019-07-28,6.710144830265947e-08
2019-07-29,6.665941913297709e-08
2019-07-30,6.672044683992819e-08
2019-07-31,6.660992173792637e-08
2019-08-01,6.664667721604794e-08
2019-08-02,6.696735393981394e-08
2019-08-03,6.749954177663097e-08
2019-08-04,6.726994336568322e-08
2019-08-05,6.70653712751173e-08
2019-08-06,6.748456628894757e-08
2019-08-07,6.730319934567422e-08
2019-08-08,6.733069912889367e-08
2019-08-09,6.73668810358648e-08
2019-08-10,6.741952766445249e-08
2019-08-11,6.783300338947108e-08
2019-08-12,6.767153320317677e-08
2019-08-13,6.757447849996054e-08
2019-08-14,6.770262709444694e-08
2019-08-15,6.724021111870231e-08
2019-08-16,6.754212586713366e-08
2019-08-17,6.742017247329086e-08
2019-08-18,6.742898653923231e-08
2019-08-19,6.760610576143932e-08
2019-08-20,6.765862898321213e-08
2019-08-21,6.770920069634172e-08
2019-08-22,6.736423083150253e-08
2019-08-23,6.691145586610615e-08
2019-08-24,6.670239677342653e-08
2019-08-25,6.671956590209966e-08
2019-08-26,6.601955805003783e-08
2019-08-27,6.660115256870504e-08
2019-08-28,6.682135277495056e-08
2019-08-29,6.685671967887728e-08
2019-08-30,6.696239157953882e-08
2019-08-31,6.662756667737329e-08
2019-09-01,6.649139971105342e-08
2019-09-02,6.647895380931565e-08
2019-09-03,6.647532891046183e-08
2019-09-04,6.660831637640797e-08
2019-09-05,6.631608975431176e-08
2019-09-06,6.567454088016869e-08
2019-09-07,6.538237881351653e-08
2019-09-08,6.504940235742978e-08
2019-09-09,6.518645849397514e-08
2019-09-10,6.482223292747973e-08
2019-09-11,6.458409825424097e-08
2019-09-12,6.458719950602033e-08
2019-09-13,6.440371453508483e-08
2019-09-14,6.411333288307047e-08
2019-09-15,6.404642128410776e-08
2019-09-16,6.424151285795928e-08
2019-09-17,6.381526361971372e-08
2019-09-18,6.395251870599119e-08
2019-09-19,6.401875037326576e-08
2019-09-20,6.435191155643221e-08
2019-09-21,6.386893679214012e-08
2019-09-22,6.371374928088424e-08
2019-09-23,6.372103453553431e-08
2019-09-24,6.368173996739242e-08
2019-09-25,6.356531507064303e-08
2019-09-26,6.398812098693193e-08
2019-09-27,6.407274905505926e-08
2019-09-28,6.391465023838314e-08
2019-09-29,6.391652516775793e-08
2019-09-30,6.410040305850288e-08
2019-10-01,6.417870692000706e-08
2019-10-02,6.43910887983613e-08
2019-10-03,6.451535835838829e-08
2019-10-04,6.455200742723498e-08
2019-10-05,6.462791428253031e-08
2019-10-06,6.462897514406918e-08
2019-10-07,6.465797702139023e-08
2019-10-08,6.449336398941216e-08
2019-10-09,6.453813740952692e-08
2019-10-10,6.464782872418486e-08
2019-10-11,6.474791774176128e-08
2019-10-12,6.487811082066254e-08
2019-10-13,6.465846246838334e-08
2019-10-14,6.451709450054539e-08
2019-10-15,6.449324316966572e-08
2019-10-16,6.456584293036969e-08
2019-10-17,6.455756698817999e-08
2019-10-18,6.437297033626528e-08
2019-10-19,6.445556183143784e-08
2019-10-20,6.445191131731197e-08
2019-10-21,6.448814744264682e-08
2019-10-22,6.438026006013998e-08
2019-10-23,6.416282852587206e-08
2019-10-24,6.43483108529206e-08
2019-10-25,6.429112013487446e-08
2019-10-26,6.414177115293022e-08
2019-10-27,6.426942342105583e-08
2019-10-28,6.428924923449843e-08
2019-10-29,6.408090981574946e-08
2019-10-30,6.427939204016069e-08
2019-10-31,6.42739705046293e-08
2019-11-01,6.413105305373678e-08
2019-11-02,6.426859544290951e-08
2019-11-03,6.434775770681969e-08
2019-11-04,6.460583264289144e-08
2019-11-05,6.478979173261552e-08
2019-11-06,6.458044327898197e-08
2019-11-07,6.46559288969956e-08
2019-11-08,6.492213374408952e-08
2019-11-09,6.461925400017244e-08
2019-11-10,6.463926461388782e-08
2019-11-11,6.45784497260375e-08
2019-11-12,6.515038709432184e-08
2019-11-13,6.517488197871022e-08
2019-11-14,6.526580839633253e-08
2019-11-15,6.526844401906037e-08
2019-11-16,6.4872985813605e-08
2019-11-17,6.489054749430465e-08
2019-11-18,6.484484887896567e-08
2019-11-19,6.46170837778569e-08
