Date,Value
2019-01-01,1.0547693179477357e-05
2019-01-02,1.1643299426503442e-05
2019-01-03,1.1701890318370457e-05
2019-01-04,1.1529451818163494e-05
2019-01-05,1.1359658520706028e-05
2019-01-06,7.991708636921175e-06
2019-01-07,9.384568619482651e-06
2019-01-08,1.2645793873764068e-05
2019-01-09,1.3855876039561856e-05
2019-01-10,1.421157032445313e-05
2019-01-11,1.4263881762668134e-05
2019-01-12,1.4960347058772909e-05
2019-01-13,1.4785524927589075e-05
2019-01-14,1.5561922050148848e-05
2019-01-15,1.6705973601365127e-05
2019-01-16,1.8545548457784806e-05
2019-01-17,1.7763094688976223e-05
2019-01-18,1.8226253611919813e-05
2019-01-19,1.70800519351922e-05
2019-01-20,1.5682324551671098e-05
2019-01-21,1.5160250876207213e-05
2019-01-22,1.5786581346320232e-05
2019-01-23,1.5903504793122443e-05
2019-01-24,1.5208394520283654e-05
2019-01-25,1.514474166231766e-05
2019-01-26,1.5875187464060144e-05
2019-01-27,1.5933129465487726e-05
2019-01-28,1.661394344330224e-05
2019-01-29,1.569729688464539e-05
2019-01-30,1.536255521276175e-05
2019-01-31,1.4702152603040745e-05
2019-02-01,1.4841802428477803e-05
2019-02-02,1.626600828450814e-05
2019-02-03,1.6049791715881753e-05
2019-02-04,1.650697302443187e-05
2019-02-05,1.6420263657613485e-05
2019-02-06,1.6766680432736903e-05
2019-02-07,1.6507682836723528e-05
2019-02-08,1.6051879529101215e-05
2019-02-09,1.5248880799021196e-05
2019-02-10,1.5094266581556197e-05
2019-02-11,1.5002354970899838e-05
2019-02-12,1.5653909284602824e-05
2019-02-13,1.524833532147446e-05
2019-02-14,1.5248250176750376e-05
2019-02-15,1.508129432747996e-05
2019-02-16,1.578555583519123e-05
2019-02-17,1.6392569577250316e-05
2019-02-18,1.6427096747153797e-05
2019-02-19,1.6069670610108217e-05
2019-02-20,1.5773062820989163e-05
2019-02-21,1.5400238756525443e-05
2019-02-22,1.548362322721801e-05
2019-02-23,1.606160100618376e-05
2019-02-24,1.6014754146845547e-05
2019-02-25,1.6343197404520555e-05
2019-02-26,1.683814387400386e-05
2019-02-27,1.661776308955939e-05
2019-02-28,1.639763936514072e-05
2019-03-01,1.653380327827355e-05
2019-03-02,1.652417538014351e-05
2019-03-03,1.77474707240812e-05
2019-03-04,1.755102363235726e-05
2019-03-05,1.6787454283125705e-05
2019-03-06,1.6768134580610297e-05
2019-03-07,1.6766490254745737e-05
2019-03-08,1.690122264821837e-05
2019-03-09,1.6798447853455294e-05
2019-03-10,1.6008715090882924e-05
2019-03-11,1.4754062718414983e-05
2019-03-12,1.1942194066547551e-05
2019-03-13,1.3212782148149124e-05
2019-03-14,1.2715567126094426e-05
2019-03-15,1.2690258164466288e-05
2019-03-16,1.264625445200616e-05
2019-03-17,7.978042102580574e-06
2019-03-18,3.535277130548516e-06
2019-03-19,4.473762378542977e-06
2019-03-20,-3.15681535773048e-06
2019-03-21,-3.42820691890639e-06
2019-03-22,-3.1914426624852893e-06
2019-03-23,-3.996088325340928e-06
2019-03-24,-3.437424327078001e-06
2019-03-25,2.1275424455761926e-06
2019-03-26,3.953702158473401e-06
2019-03-27,2.43053865884271e-06
2019-03-28,1.9830301646346852e-06
2019-03-29,2.152144258580322e-06
2019-03-30,5.912695742082873e-06
2019-03-31,5.708444122377023e-06
2019-04-01,7.004072204327167e-06
2019-04-02,7.552012775691619e-06
2019-04-03,8.164089087278517e-06
2019-04-04,9.021730155859274e-06
2019-04-05,8.977755686105424e-06
2019-04-06,1.0451433077008622e-05
2019-04-07,1.0085237150774014e-05
2019-04-08,8.776913442358677e-06
2019-04-09,9.174432138103874e-06
2019-04-10,1.092180798453667e-05
2019-04-11,1.0850180175903629e-05
2019-04-12,1.0937403468786815e-05
2019-04-13,1.112859523533995e-05
2019-04-14,1.0031438984866405e-05
2019-04-15,1.0138427829990146e-05
2019-04-16,1.0135163280318076e-05
2019-04-17,1.0867959944170822e-05
2019-04-18,1.0809284014995969e-05
2019-04-19,1.0653902529831208e-05
2019-04-20,1.0924423408569667e-05
2019-04-21,1.0719213174760146e-05
2019-04-22,1.0754102852387017e-05
2019-04-23,1.0647632307133596e-05
2019-04-24,1.0788108843895964e-05
2019-04-25,1.1010204232229145e-05
2019-04-26,1.083566535395671e-05
2019-04-27,1.0912344566371491e-05
2019-04-28,1.1053313391448559e-05
2019-04-29,1.102215176523403e-05
2019-04-30,1.0790047809206797e-05
2019-05-01,1.1031465753309838e-05
2019-05-02,1.137300466486949e-05
2019-05-03,1.110514018689003e-05
2019-05-04,1.3539277345350445e-05
2019-05-05,1.362006569631292e-05
2019-05-06,1.3617759707836125e-05
2019-05-07,1.329237050277654e-05
2019-05-08,1.3976354853250301e-05
2019-05-09,1.365774337042405e-05
2019-05-10,1.364023644287897e-05
2019-05-11,1.3742301000340248e-05
2019-05-12,1.3170310717300977e-05
2019-05-13,1.2697484971886288e-05
2019-05-14,1.37766132719853e-05
2019-05-15,1.3306829060467865e-05
2019-05-16,1.3014888373473767e-05
2019-05-17,1.3160977136100118e-05
2019-05-18,1.3437790493084802e-05
2019-05-19,1.3242372120589755e-05
2019-05-20,1.2547609801242376e-05
2019-05-21,1.2758507002937951e-05
2019-05-22,1.35131164979331e-05
2019-05-23,1.3332204163605015e-05
2019-05-24,1.3340062722975679e-05
2019-05-25,1.3848188456037204e-05
2019-05-26,1.3513855408836381e-05
2019-05-27,1.3816412426639665e-05
2019-05-28,1.2692250447678648e-05
2019-05-29,1.298741370232006e-05
2019-05-30,1.2924481531670749e-05
2019-05-31,1.3023463940869002e-05
2019-06-01,1.3824691291889917e-05
2019-06-02,1.368633911452917e-05
2019-06-03,1.4268322299925571e-05
2019-06-04,1.436401015907814e-05
2019-06-05,1.446974397061003e-05
2019-06-06,1.4650223360783969e-05
2019-06-07,1.4637181447779111e-05
2019-06-08,1.526265145136758e-05
2019-06-09,1.5255401566136675e-05
2019-06-10,1.4967118406638284e-05
2019-06-11,1.483570566436864e-05
2019-06-12,1.443839130527708e-05
2019-06-13,1.4486848615099949e-05
2019-06-14,1.4553046230541066e-05
2019-06-15,1.4144031513287782e-05
2019-06-16,1.4035868209742335e-05
2019-06-17,1.4555602637724498e-05
2019-06-18,1.4635600349862374e-05
2019-06-19,1.4378415190027676e-05
2019-06-20,1.431001952380082e-05
2019-06-21,1.4230342380729932e-05
2019-06-22,1.4384276202645218e-05
2019-06-23,1.4607024322616943e-05
2019-06-24,1.4350615611627914e-05
2019-06-25,1.3960678168982839e-05
2019-06-26,1.3933007227599206e-05
2019-06-27,1.4269973035799842e-05
2019-06-28,1.4137031960884826e-05
2019-06-29,1.4113927788210508e-05
2019-06-30,1.3411024587648799e-05
2019-07-01,1.1872530960315234e-05
2019-07-02,1.1488997372369019e-05
2019-07-03,1.2150015174714183e-05
2019-07-04,1.25138345420732e-05
2019-07-05,1.2525426829490519e-05
2019-07-06,1.2449589847280559e-05
2019-07-07,1.2421170515174487e-05
2019-07-08,1.2538827879572771e-05
2019-07-09,1.2771456772332677e-05
2019-07-10,1.321368906839106e-05
2019-07-11,1.3350010688837167e-05
2019-07-12,1.2889658570895437e-05
2019-07-13,1.2747368993006482e-05
2019-07-14,1.2343775239533831e-05
2019-07-15,1.1085609779662224e-05
2019-07-16,1.1109489098195763e-05
2019-07-17,1.0643865836723722e-05
2019-07-18,1.0016882212666874e-05
2019-07-19,1.0205419821579988e-05
2019-07-20,9.486873484125245e-06
2019-07-21,1.0032848711570432e-05
2019-07-22,8.816870650645851e-06
2019-07-23,6.649796869364599e-06
2019-07-24,6.549671210545825e-06
2019-07-25,6.397434293618228e-06
2019-07-26,6.220841455423972e-06
