Date,Value
2019-01-01,-4.35
2019-02-01,-5.56
2019-03-01,-3.8499999999999996
2019-04-01,-3.51
2019-05-01,-4.02
2019-06-01,-2.6799999999999997
2019-07-01,-2.38
2019-08-01,-2.21
2019-09-01,-3.96
2019-10-01,-4.18
2019-11-01,-5.67
2019-12-01,-5.37
2020-01-01,-1.15
2020-02-01,-0.99
2020-03-01,-1.1899999999999997
2020-04-01,-12.09
2020-05-01,-13.98
2020-06-01,-4.3
2020-07-01,-6.23
2020-08-01,-4.15
2020-09-01,-3.1799999999999997
2020-10-01,-2.0
2020-11-01,-2.1599999999999997
2020-12-01,-0.77
2021-01-01,-3.15
2021-02-01,-0.24
2021-03-01,0.8
2021-04-01,1.83
2021-05-01,2.4600000000000004
2021-06-01,1.64
2021-07-01,2.4600000000000004
2021-08-01,0.6499999999999999
2021-09-01,3.8400000000000003
2021-10-01,4.27
2021-11-01,4.82
2021-12-01,5.27
2022-01-01,0.43
2022-02-01,-0.20999999999999996
2022-03-01,0.79
2022-04-01,-2.5399999999999996
2022-05-01,-1.79
2022-06-01,-1.46
2022-07-01,-1.63
2022-08-01,-1.91
2022-09-01,-1.18
2022-10-01,-1.1
2022-11-01,0.87
2022-12-01,2.7800000000000002
2023-01-01,5.57
2023-02-01,3.1600000000000006
2023-03-01,3.9600000000000004
2023-04-01,2.3900000000000006
2023-05-01,2.96
2023-06-01,2.0
2023-07-01,2.17
2023-08-01,5.23
2023-09-01,1.1
2023-10-01,2.17
2023-11-01,2.02
2023-12-01,2.95
2024-01-01,6.41
2024-02-01,7.01
2024-03-01,5.19
2024-04-01,4.54
2024-05-01,5.37
2024-06-01,6.13
2024-07-01,6.66
2024-08-01,4.55
2024-09-01,5.1
2024-10-01,1.67
2024-11-01,1.53
2024-12-01,-0.51
