Date,Value
2019-01-01,-1.8499999999999999
2019-02-01,-1.1899999999999995
2019-03-01,-2.0900000000000003
2019-04-01,-1.6200000000000006
2019-05-01,-2.54
2019-06-01,-2.51
2019-07-01,-1.6600000000000001
2019-08-01,0.19000000000000022
2019-09-01,-0.51
2019-10-01,-0.6900000000000004
2019-11-01,-1.7899999999999998
2019-12-01,-2.1200000000000006
2020-01-01,-1.5599999999999996
2020-02-01,-0.5700000000000003
2020-03-01,-0.18999999999999978
2020-04-01,-8.11
2020-05-01,-8.08
2020-06-01,-6.63
2020-07-01,-4.879999999999999
2020-08-01,-3.7099999999999995
2020-09-01,-3.73
2020-10-01,-3.7199999999999998
2020-11-01,-1.5700000000000003
2020-12-01,-1.23
2021-01-01,2.71
2021-02-01,2.01
2021-03-01,1.69
2021-04-01,1.76
2021-05-01,2.3
2021-06-01,2.2399999999999998
2021-07-01,2.53
2021-08-01,2.799999999999999
2021-09-01,3.17
2021-10-01,2.9399999999999995
2021-11-01,2.6299999999999994
2021-12-01,3.6399999999999997
2022-01-01,0.8899999999999998
2022-02-01,1.54
2022-03-01,-5.81
2022-04-01,-5.329999999999999
2022-05-01,-5.599999999999999
2022-06-01,-6.81
2022-07-01,-7.04
2022-08-01,-7.319999999999999
2022-09-01,-5.619999999999999
2022-10-01,-4.53
2022-11-01,-3.4799999999999995
2022-12-01,-2.5700000000000003
2023-01-01,2.7199999999999998
2023-02-01,3.12
2023-03-01,4.710000000000001
2023-04-01,3.65
2023-05-01,4.1899999999999995
2023-06-01,4.19
2023-07-01,4.38
2023-08-01,4.23
2023-09-01,4.22
2023-10-01,4.23
2023-11-01,6.420000000000001
2023-12-01,5.16
2024-01-01,5.91
2024-02-01,5.69
2024-03-01,6.29
2024-04-01,6.96
2024-05-01,6.75
2024-06-01,6.890000000000001
2024-07-01,6.790000000000001
2024-08-01,6.72
2024-09-01,6.63
2024-10-01,6.6
2024-11-01,7.02
2024-12-01,6.87
