Date,Value
2019-01-01,6.70795e-08
2019-01-02,6.70796e-08
2019-01-03,6.70797e-08
2019-01-04,6.70798e-08
2019-01-05,6.70799e-08
2019-01-06,6.708e-08
2019-01-07,6.708010000000001e-08
2019-01-08,6.70802e-08
2019-01-09,6.708029999999999e-08
2019-01-10,6.70795e-08
2019-01-11,6.68605e-08
2019-01-12,6.69167e-08
2019-01-13,6.69167e-08
2019-01-14,6.69167e-08
2019-01-15,6.7192e-08
2019-01-16,6.708199999999999e-08
2019-01-17,6.676170000000001e-08
2019-01-18,6.64438e-08
2019-01-19,6.63309e-08
2019-01-20,6.63309e-08
2019-01-21,6.63309e-08
2019-01-22,6.63634e-08
2019-01-23,6.654989999999999e-08
2019-01-24,6.63318e-08
2019-01-25,6.60016e-08
2019-01-26,6.591700000000001e-08
2019-01-27,6.591700000000001e-08
2019-01-28,6.591700000000001e-08
2019-01-29,6.593000000000001e-08
2019-01-30,6.63412e-08
2019-01-31,6.60987e-08
2019-02-01,6.535769999999999e-08
2019-02-02,6.56601e-08
2019-02-03,6.56601e-08
2019-02-04,6.56601e-08
2019-02-05,6.55859e-08
2019-02-06,6.55691e-08
2019-02-07,6.56686e-08
2019-02-08,6.601990000000001e-08
2019-02-09,6.606279999999999e-08
2019-02-10,6.606279999999999e-08
2019-02-11,6.606279999999999e-08
2019-02-12,6.565170000000001e-08
2019-02-13,6.571469999999999e-08
2019-02-14,6.567829999999999e-08
2019-02-15,6.65429e-08
2019-02-16,6.670440000000001e-08
2019-02-17,6.670440000000001e-08
2019-02-18,6.670440000000001e-08
2019-02-19,6.6247e-08
2019-02-20,6.620220000000001e-08
2019-02-21,6.585680000000001e-08
2019-02-22,6.55401e-08
2019-02-23,6.55149e-08
2019-02-24,6.55149e-08
2019-02-25,6.55149e-08
2019-02-26,6.52582e-08
2019-02-27,6.56182e-08
2019-02-28,6.575700000000001e-08
2019-03-01,6.58895e-08
2019-03-02,6.58145e-08
2019-03-03,6.58145e-08
2019-03-04,6.58145e-08
2019-03-05,6.57956e-08
2019-03-06,6.58004e-08
2019-03-07,6.5843e-08
2019-03-08,6.59646e-08
2019-03-09,6.59646e-08
2019-03-10,6.59646e-08
2019-03-11,6.59646e-08
2019-03-12,6.60763e-08
2019-03-13,6.576739999999999e-08
2019-03-14,6.558899999999999e-08
2019-03-15,6.54021e-08
2019-03-16,6.54201e-08
2019-03-17,6.54201e-08
2019-03-18,6.54201e-08
2019-03-19,6.466939999999999e-08
2019-03-20,6.43167e-08
2019-03-21,6.42803e-08
2019-03-22,6.3742e-08
2019-03-23,6.37705e-08
2019-03-24,6.37705e-08
2019-03-25,6.37705e-08
2019-03-26,6.44993e-08
2019-03-27,6.41683e-08
2019-03-28,6.45925e-08
2019-03-29,6.48012e-08
2019-03-30,6.47347e-08
2019-03-31,6.47347e-08
2019-04-01,6.47347e-08
2019-04-02,6.541759999999999e-08
2019-04-03,6.54726e-08
2019-04-04,6.51639e-08
2019-04-05,6.53281e-08
2019-04-06,6.540720000000001e-08
2019-04-07,6.540720000000001e-08
2019-04-08,6.540720000000001e-08
2019-04-09,6.53498e-08
2019-04-10,6.47766e-08
2019-04-11,6.473730000000001e-08
2019-04-12,6.43991e-08
2019-04-13,6.45171e-08
2019-04-14,6.45171e-08
2019-04-15,6.45171e-08
2019-04-16,6.42469e-08
2019-04-17,6.42422e-08
2019-04-18,6.3945e-08
2019-04-19,6.406879999999999e-08
2019-04-20,6.39602e-08
2019-04-21,6.39602e-08
2019-04-22,6.39602e-08
2019-04-23,6.3786e-08
2019-04-24,6.37906e-08
2019-04-25,6.39798e-08
2019-04-26,6.46794e-08
2019-04-27,6.47053e-08
2019-04-28,6.47053e-08
2019-04-29,6.47053e-08
2019-04-30,6.469169999999999e-08
2019-05-01,6.46314e-08
2019-05-02,6.46314e-08
2019-05-03,6.46314e-08
2019-05-04,6.46314e-08
2019-05-05,6.46314e-08
2019-05-06,6.46314e-08
2019-05-07,6.5335e-08
2019-05-08,6.52166e-08
2019-05-09,6.52287e-08
2019-05-10,6.52287e-08
2019-05-11,6.52287e-08
2019-05-12,6.52287e-08
2019-05-13,6.52287e-08
2019-05-14,6.547029999999999e-08
2019-05-15,6.53001e-08
2019-05-16,6.48489e-08
2019-05-17,6.455979999999999e-08
2019-05-18,6.46327e-08
2019-05-19,6.46327e-08
2019-05-20,6.46327e-08
2019-05-21,6.448879999999999e-08
2019-05-22,6.45372e-08
2019-05-23,6.44156e-08
2019-05-24,6.44913e-08
2019-05-25,6.46106e-08
2019-05-26,6.46106e-08
2019-05-27,6.46106e-08
2019-05-28,6.44636e-08
2019-05-29,6.45394e-08
2019-05-30,6.49084e-08
2019-05-31,6.50583e-08
2019-06-01,6.538339999999999e-08
2019-06-02,6.538339999999999e-08
2019-06-03,6.538339999999999e-08
2019-06-04,6.555469999999999e-08
2019-06-05,6.51614e-08
2019-06-06,6.512430000000001e-08
2019-06-07,6.5234e-08
2019-06-08,6.50395e-08
2019-06-09,6.50395e-08
2019-06-10,6.50395e-08
2019-06-11,6.47919e-08
2019-06-12,6.45158e-08
2019-06-13,6.45158e-08
2019-06-14,6.46314e-08
2019-06-15,6.44326e-08
2019-06-16,6.44326e-08
2019-06-17,6.44326e-08
2019-06-18,6.43187e-08
2019-06-19,6.43352e-08
2019-06-20,6.39794e-08
2019-06-21,6.338770000000001e-08
2019-06-22,6.31295e-08
2019-06-23,6.31295e-08
2019-06-24,6.31295e-08
2019-06-25,6.29095e-08
2019-06-26,6.25229e-08
2019-06-27,6.28083e-08
2019-06-28,6.30452e-08
2019-06-29,6.307560000000001e-08
2019-06-30,6.307560000000001e-08
2019-07-01,6.307560000000001e-08
2019-07-02,6.30541e-08
2019-07-03,6.32265e-08
2019-07-04,6.34951e-08
2019-07-05,6.34013e-08
2019-07-06,6.35841e-08
2019-07-07,6.35841e-08
2019-07-08,6.35841e-08
2019-07-09,6.38699e-08
2019-07-10,6.3766e-08
2019-07-11,6.37988e-08
2019-07-12,6.29944e-08
2019-07-13,6.30204e-08
2019-07-14,6.30204e-08
2019-07-15,6.30204e-08
2019-07-16,6.2828e-08
2019-07-17,6.28129e-08
2019-07-18,6.294509999999999e-08
2019-07-19,6.28286e-08
2019-07-20,6.28666e-08
2019-07-21,6.28666e-08
2019-07-22,6.28666e-08
2019-07-23,6.29776e-08
2019-07-24,6.3129e-08
2019-07-25,6.31162e-08
2019-07-26,6.31572e-08
2019-07-27,6.31271e-08
2019-07-28,6.31271e-08
2019-07-29,6.31271e-08
2019-07-30,6.3521e-08
2019-07-31,6.337910000000001e-08
2019-08-01,6.34172e-08
2019-08-02,6.3834e-08
2019-08-03,6.464230000000001e-08
2019-08-04,6.464230000000001e-08
2019-08-05,6.464230000000001e-08
2019-08-06,6.505459999999999e-08
2019-08-07,6.5203e-08
2019-08-08,6.50932e-08
2019-08-09,6.512990000000001e-08
2019-08-10,6.52543e-08
2019-08-11,6.52543e-08
2019-08-12,6.52543e-08
2019-08-13,6.542870000000001e-08
2019-08-14,6.560169999999999e-08
2019-08-15,6.520319999999999e-08
2019-08-16,6.58907e-08
2019-08-17,6.59961e-08
2019-08-18,6.59961e-08
2019-08-19,6.59961e-08
2019-08-20,6.66082e-08
2019-08-21,6.678400000000001e-08
2019-08-22,6.6263e-08
2019-08-23,6.56196e-08
2019-08-24,6.56046e-08
2019-08-25,6.56046e-08
2019-08-26,6.56046e-08
2019-08-27,6.59735e-08
2019-08-28,6.62608e-08
2019-08-29,6.64127e-08
2019-08-30,6.67471e-08
2019-08-31,6.64897e-08
2019-09-01,6.64897e-08
2019-09-02,6.64897e-08
2019-09-03,6.66235e-08
2019-09-04,6.69072e-08
2019-09-05,6.65002e-08
2019-09-06,6.60528e-08
2019-09-07,6.59981e-08
2019-09-08,6.59981e-08
2019-09-09,6.59981e-08
2019-09-10,6.55698e-08
2019-09-11,6.54393e-08
2019-09-12,6.54321e-08
2019-09-13,6.51909e-08
2019-09-14,6.44711e-08
2019-09-15,6.44711e-08
2019-09-16,6.44711e-08
2019-09-17,6.38272e-08
2019-09-18,6.41213e-08
2019-09-19,6.4429e-08
2019-09-20,6.42199e-08
2019-09-21,6.38487e-08
2019-09-22,6.38487e-08
2019-09-23,6.38487e-08
2019-09-24,6.39453e-08
2019-09-25,6.3706e-08
2019-09-26,6.41873e-08
2019-09-27,6.428879999999999e-08
2019-09-28,6.44156e-08
2019-09-29,6.44156e-08
2019-09-30,6.44156e-08
2019-10-01,6.46407e-08
2019-10-02,6.5067e-08
2019-10-03,6.543989999999999e-08
2019-10-04,6.513120000000001e-08
2019-10-05,6.503000000000001e-08
2019-10-06,6.503000000000001e-08
2019-10-07,6.503000000000001e-08
2019-10-08,6.482590000000001e-08
2019-10-09,6.486719999999999e-08
2019-10-10,6.50976e-08
2019-10-11,6.47416e-08
2019-10-12,6.422369999999999e-08
2019-10-13,6.422369999999999e-08
2019-10-14,6.422369999999999e-08
2019-10-15,6.43652e-08
2019-10-16,6.42548e-08
2019-10-17,6.43455e-08
2019-10-18,6.401439999999999e-08
2019-10-19,6.39542e-08
2019-10-20,6.39542e-08
2019-10-21,6.39542e-08
2019-10-22,6.37606e-08
2019-10-23,6.36336e-08
2019-10-24,6.37997e-08
2019-10-25,6.386e-08
2019-10-26,6.39966e-08
2019-10-27,6.39966e-08
2019-10-28,6.39966e-08
2019-10-29,6.387e-08
2019-10-30,6.3832e-08
2019-10-31,6.38734e-08
2019-11-01,6.37748e-08
2019-11-02,6.403159999999999e-08
2019-11-03,6.403159999999999e-08
2019-11-04,6.403159999999999e-08
2019-11-05,6.403159999999999e-08
2019-11-06,6.3248e-08
2019-11-07,6.3588e-08
2019-11-08,6.372979999999999e-08
2019-11-09,6.37295e-08
2019-11-10,6.37295e-08
2019-11-11,6.37295e-08
2019-11-12,6.39121e-08
2019-11-13,6.3853e-08
2019-11-14,6.42009e-08
2019-11-15,6.42101e-08
2019-11-16,6.38881e-08
2019-11-17,6.38881e-08
2019-11-18,6.38881e-08
2019-11-19,6.37542e-08
2019-11-20,6.3773e-08
2019-11-21,6.402129999999999e-08
2019-11-22,6.3843e-08
2019-11-23,6.37101e-08
2019-11-24,6.37101e-08
2019-11-25,6.37101e-08
2019-11-26,6.37637e-08
2019-11-27,6.40239e-08
2019-11-28,6.39722e-08
2019-11-29,6.41005e-08
2019-11-30,6.40817e-08
2019-12-01,6.40817e-08
2019-12-02,6.40817e-08
2019-12-03,6.44097e-08
2019-12-04,6.414010000000001e-08
2019-12-05,6.41948e-08
2019-12-06,6.38135e-08
2019-12-07,6.37185e-08
2019-12-08,6.37185e-08
2019-12-09,6.37185e-08
2019-12-10,6.37244e-08
2019-12-11,6.35788e-08
2019-12-12,6.35653e-08
2019-12-13,6.32257e-08
2019-12-14,6.25544e-08
2019-12-15,6.25544e-08
2019-12-16,6.25544e-08
2019-12-17,6.27686e-08
2019-12-18,6.25326e-08
2019-12-19,6.25831e-08
2019-12-20,6.25283e-08
2019-12-21,6.24071e-08
2019-12-22,6.24071e-08
2019-12-23,6.24071e-08
2019-12-24,6.22499e-08
