Date,Value
2019-01-01,1.781363202e-05
2019-01-02,1.74574659e-05
2019-01-03,1.8068587992e-05
2019-01-04,1.8068587992e-05
2019-01-05,1.8068587992e-05
2019-01-06,1.6990693199999997e-05
2019-01-07,1.7530042533e-05
2019-01-08,1.7183934834000003e-05
2019-01-09,1.7298667764e-05
2019-01-10,1.769959687e-05
2019-01-11,1.769959687e-05
2019-01-12,1.769959687e-05
2019-01-13,1.7138036037e-05
2019-01-14,1.7403695336e-05
2019-01-15,1.739466496e-05
2019-01-16,1.81154941e-05
2019-01-17,1.771855518e-05
2019-01-18,1.771855518e-05
2019-01-19,1.771855518e-05
2019-01-20,1.6921675899e-05
2019-01-21,1.6952188113e-05
2019-01-22,1.7245193124000002e-05
2019-01-23,1.6612851536999997e-05
2019-01-24,1.6146486756e-05
2019-01-25,1.6146486756e-05
2019-01-26,1.6146486756e-05
2019-01-27,1.593741226e-05
2019-01-28,1.5986190839999998e-05
2019-01-29,1.56827691e-05
2019-01-30,1.558686494e-05
2019-01-31,1.5053978924999999e-05
2019-02-01,1.5053978924999999e-05
2019-02-02,1.5053978924999999e-05
2019-02-03,1.5007272456e-05
2019-02-04,1.4816201565e-05
2019-02-05,1.4586960018999998e-05
2019-02-06,1.4522244268e-05
2019-02-07,1.40202461e-05
2019-02-08,1.40202461e-05
2019-02-09,1.40202461e-05
2019-02-10,1.3920753215999999e-05
2019-02-11,1.36584839e-05
2019-02-12,1.381311768e-05
2019-02-13,1.3544456817e-05
2019-02-14,1.3840388158999998e-05
2019-02-15,1.3840388158999998e-05
2019-02-16,1.3840388158999998e-05
2019-02-17,1.3532988672e-05
2019-02-18,1.3768455204000002e-05
2019-02-19,1.405165117e-05
2019-02-20,1.3556886516e-05
2019-02-21,1.3260266680000001e-05
2019-02-22,1.3260266680000001e-05
2019-02-23,1.3260266680000001e-05
2019-02-24,1.2980467137e-05
2019-02-25,1.3073498294999999e-05
2019-02-26,1.3498006088e-05
2019-02-27,1.3700423978e-05
2019-02-28,1.334998614e-05
2019-03-01,1.334998614e-05
2019-03-02,1.334998614e-05
2019-03-03,1.343010687e-05
2019-03-04,1.3216867889999998e-05
2019-03-05,1.2924887663999998e-05
2019-03-06,1.2937674648e-05
2019-03-07,1.2710991150000002e-05
2019-03-08,1.2710991150000002e-05
2019-03-09,1.2710991150000002e-05
2019-03-10,1.2696866208e-05
2019-03-11,1.2398706216e-05
2019-03-12,1.2091302137000001e-05
2019-03-13,1.1985450976e-05
2019-03-14,1.165910064e-05
2019-03-15,1.165910064e-05
2019-03-16,1.165910064e-05
2019-03-17,1.1436087681e-05
2019-03-18,1.1469451932e-05
2019-03-19,1.1509859812000001e-05
2019-03-20,1.1030957217e-05
2019-03-21,1.0892296834999999e-05
2019-03-22,1.0892296834999999e-05
2019-03-23,1.0892296834999999e-05
2019-03-24,1.0532973485e-05
2019-03-25,1.0698776785e-05
2019-03-26,1.1237713039e-05
2019-03-27,1.0739848371e-05
2019-03-28,1.06241744e-05
2019-03-29,1.06241744e-05
2019-03-30,1.06241744e-05
2019-03-31,1.0369204246e-05
2019-04-01,1.0061714421e-05
2019-04-02,1.0718673759999998e-05
2019-04-03,1.1229205626e-05
2019-04-04,1.2536882720999999e-05
2019-04-05,1.2536882720999999e-05
2019-04-06,1.2536882720999999e-05
2019-04-07,1.207416912e-05
2019-04-08,1.2723662615999999e-05
2019-04-09,1.1936794468e-05
2019-04-10,1.2042617706e-05
2019-04-11,1.1910368454e-05
2019-04-12,1.1910368454e-05
2019-04-13,1.1910368454e-05
2019-04-14,1.1284685961e-05
2019-04-15,1.1151135564e-05
2019-04-16,1.1357566982e-05
2019-04-17,1.0820313746e-05
2019-04-18,1.0820313746e-05
2019-04-19,1.0820313746e-05
2019-04-20,1.0820313746e-05
2019-04-21,1.0820313746e-05
2019-04-22,1.0820313746e-05
2019-04-23,1.0526603580000002e-05
2019-04-24,1.066259879e-05
2019-04-25,1.0591216092e-05
2019-04-26,1.0591216092e-05
2019-04-27,1.0591216092e-05
2019-04-28,1.0800608675999998e-05
2019-04-29,1.0732668111e-05
2019-04-30,1.0513048167000002e-05
2019-05-01,1.0718471376e-05
2019-05-02,1.0841271036e-05
2019-05-03,1.0841271036e-05
2019-05-04,1.0841271036e-05
2019-05-05,1.068357042e-05
2019-05-06,1.0558185504e-05
2019-05-07,1.0797262099999998e-05
2019-05-08,1.088138971e-05
2019-05-09,1.0557917382e-05
2019-05-10,1.0557917382e-05
2019-05-11,1.0557917382e-05
2019-05-12,1.0396802493e-05
2019-05-13,1.0403325363000002e-05
2019-05-14,1.0481140327e-05
2019-05-15,1.0096701462000002e-05
2019-05-16,9.60412209e-06
2019-05-17,9.60412209e-06
2019-05-18,9.60412209e-06
2019-05-19,9.598602277e-06
2019-05-20,9.453825029e-06
2019-05-21,9.38634484e-06
2019-05-22,9.346277303999999e-06
2019-05-23,9.095482719999998e-06
2019-05-24,9.095482719999998e-06
2019-05-25,9.095482719999998e-06
2019-05-26,9.079081512e-06
2019-05-27,9.33300117e-06
2019-05-28,9.068739248e-06
2019-05-29,8.501775162e-06
2019-05-30,8.345272987999999e-06
2019-05-31,8.345272987999999e-06
2019-06-01,8.345272987999999e-06
2019-06-02,8.358613856e-06
2019-06-03,9.025524536e-06
2019-06-04,8.822351526000001e-06
2019-06-05,8.373891513999999e-06
2019-06-06,8.721446256e-06
2019-06-07,8.721446256e-06
2019-06-08,8.721446256e-06
2019-06-09,8.958540730000001e-06
2019-06-10,8.497410675000002e-06
2019-06-11,8.42942619e-06
2019-06-12,8.55802087e-06
2019-06-13,8.488988964e-06
2019-06-14,8.488988964e-06
2019-06-15,8.488988964e-06
2019-06-16,8.622370531999998e-06
2019-06-17,8.224177063999999e-06
2019-06-18,7.781919513e-06
2019-06-19,7.558742647999998e-06
2019-06-20,7.713356464e-06
2019-06-21,7.713356464e-06
2019-06-22,7.713356464e-06
2019-06-23,7.5553385600000004e-06
2019-06-24,7.303451855e-06
2019-06-25,7.092417029999999e-06
2019-06-26,6.874392855e-06
2019-06-27,7.446552048e-06
2019-06-28,7.446552048e-06
2019-06-29,7.446552048e-06
2019-06-30,7.655485572e-06
2019-07-01,7.505365643999999e-06
2019-07-02,7.55388118e-06
2019-07-03,7.752833430000001e-06
2019-07-04,8.284840648e-06
2019-07-05,8.284840648e-06
2019-07-06,8.284840648e-06
2019-07-07,8.739634544999999e-06
2019-07-08,8.643622554e-06
2019-07-09,8.953282582e-06
2019-07-10,9.7115618e-06
2019-07-11,9.826291176e-06
2019-07-12,9.826291176e-06
2019-07-13,9.826291176e-06
2019-07-14,9.44045592e-06
2019-07-15,8.350203e-06
2019-07-16,7.97852772e-06
2019-07-17,7.805130954e-06
2019-07-18,7.91219907e-06
2019-07-19,7.91219907e-06
2019-07-20,7.91219907e-06
2019-07-21,7.385568168e-06
2019-07-22,7.80803172e-06
2019-07-23,7.292176304e-06
2019-07-24,7.26804177e-06
2019-07-25,7.226173737999999e-06
2019-07-26,7.226173737999999e-06
2019-07-27,7.226173737999999e-06
2019-07-28,7.104955105e-06
2019-07-29,7.101167478999999e-06
2019-07-30,8.032865659999998e-06
2019-07-31,8.940255846e-06
2019-08-01,8.7040107e-06
2019-08-02,8.7040107e-06
2019-08-03,8.7040107e-06
2019-08-04,8.485594721000002e-06
2019-08-05,8.184361603e-06
2019-08-06,8.572895187999998e-06
2019-08-07,9.09060226e-06
2019-08-08,9.032332431999999e-06
2019-08-09,9.032332431999999e-06
2019-08-10,9.032332431999999e-06
2019-08-11,8.610304885e-06
2019-08-12,8.947669616e-06
2019-08-13,8.425253699000001e-06
2019-08-14,8.456059129999999e-06
2019-08-15,8.178437376e-06
2019-08-16,8.178437376e-06
2019-08-17,8.178437376e-06
2019-08-18,8.139299013e-06
2019-08-19,8.456080293e-06
2019-08-20,8.698364838e-06
2019-08-21,8.390073920000001e-06
2019-08-22,8.01053407e-06
2019-08-23,8.01053407e-06
2019-08-24,8.01053407e-06
2019-08-25,7.772176962e-06
2019-08-26,7.559618058000001e-06
2019-08-27,7.722198174999999e-06
2019-08-28,8.110984528e-06
2019-08-29,9.688948803e-06
2019-08-30,9.688948803e-06
2019-08-31,9.688948803e-06
2019-09-01,8.924912430999999e-06
2019-09-02,9.096455857000001e-06
2019-09-03,9.010828374999999e-06
2019-09-04,9.312813168e-06
2019-09-05,9.343943101999999e-06
2019-09-06,9.343943101999999e-06
2019-09-07,9.343943101999999e-06
2019-09-08,9.175055861999999e-06
2019-09-09,1.0828308267e-05
2019-09-10,1.0721317998e-05
2019-09-11,1.0740552309e-05
2019-09-12,1.0978197738000001e-05
2019-09-13,1.0978197738000001e-05
2019-09-14,1.0978197738000001e-05
2019-09-15,1.1294692009e-05
2019-09-16,9.827974484e-06
2019-09-17,9.057717952e-06
2019-09-18,8.936585581000001e-06
2019-09-19,9.32352059e-06
2019-09-20,9.32352059e-06
2019-09-21,9.32352059e-06
2019-09-22,8.878800222e-06
2019-09-23,8.929240695e-06
2019-09-24,8.679935022e-06
2019-09-25,8.65700834e-06
2019-09-26,8.623563754999999e-06
2019-09-27,8.623563754999999e-06
2019-09-28,8.623563754999999e-06
2019-09-29,1.1909800284e-05
2019-09-30,1.2129457479999999e-05
2019-10-01,1.1656657431e-05
2019-10-02,1.176931896e-05
2019-10-03,1.1671860564e-05
2019-10-04,1.1671860564e-05
2019-10-05,1.1671860564e-05
2019-10-06,1.14179674e-05
2019-10-07,1.15031567e-05
2019-10-08,1.1402227551e-05
2019-10-09,1.1631337632000001e-05
2019-10-10,1.1920672512e-05
2019-10-11,1.1920672512e-05
2019-10-12,1.1920672512e-05
2019-10-13,1.1711833932e-05
2019-10-14,1.1725963146e-05
2019-10-15,1.1764671256e-05
2019-10-16,1.1756058208e-05
2019-10-17,1.1784878325e-05
2019-10-18,1.1784878325e-05
2019-10-19,1.1784878325e-05
2019-10-20,1.1480418442e-05
2019-10-21,1.1464429892e-05
2019-10-22,1.1270961262e-05
2019-10-23,1.1432412576e-05
2019-10-24,1.1127943674e-05
2019-10-25,1.1127943674e-05
2019-10-26,1.1127943674e-05
2019-10-27,1.0522960938e-05
2019-10-28,1.0128741882000001e-05
2019-10-29,1.00812408e-05
2019-10-30,1.1840835999999999e-05
2019-10-31,1.1879813666e-05
2019-11-01,1.1879813666e-05
2019-11-02,1.1879813666e-05
2019-11-03,1.2144873572e-05
2019-11-04,1.2333126475999999e-05
2019-11-05,1.1900913176e-05
2019-11-06,1.16281448e-05
2019-11-07,1.154567316e-05
2019-11-08,1.154567316e-05
2019-11-09,1.154567316e-05
2019-11-10,1.147258459e-05
2019-11-11,1.12673756e-05
2019-11-12,1.1206347614e-05
2019-11-13,1.135114781e-05
