Date,Value
2019-01-01,3.683340836e-06
2019-01-02,3.683340836e-06
2019-01-03,3.7531092149999998e-06
2019-01-04,3.827573388000001e-06
2019-01-05,3.827573388000001e-06
2019-01-06,3.827573388000001e-06
2019-01-07,3.8457021329999995e-06
2019-01-08,3.938949344e-06
2019-01-09,4.1214136319999995e-06
2019-01-10,4.13746356e-06
2019-01-11,4.04372304e-06
2019-01-12,4.04372304e-06
2019-01-13,4.07550808014e-06
2019-01-14,3.9474161330000005e-06
2019-01-15,4.07452288e-06
2019-01-16,4.11346824e-06
2019-01-17,4.084480806000001e-06
2019-01-18,4.1660262599999996e-06
2019-01-19,4.1660262599999996e-06
2019-01-20,4.1377945059900005e-06
2019-01-21,4.161600666000001e-06
2019-01-22,4.0813491e-06
2019-01-23,4.068860886e-06
2019-01-24,4.0522096620000005e-06
2019-01-25,4.068338624e-06
2019-01-26,4.068338624e-06
2019-01-27,4.0454713074e-06
2019-01-28,3.95040581e-06
2019-01-29,4.042827600000001e-06
2019-01-30,4.08993498e-06
2019-01-31,4.090848543e-06
2019-02-01,4.101195675e-06
2019-02-02,4.101195675e-06
2019-02-03,4.11796509564e-06
2019-02-04,4.104412851e-06
2019-02-05,4.065014082e-06
2019-02-06,4.110526879e-06
2019-02-07,4.0471558180000004e-06
2019-02-08,4.09983579e-06
2019-02-09,4.09983579e-06
2019-02-10,4.0930528996e-06
2019-02-11,4.063522828e-06
2019-02-12,4.097979114000001e-06
2019-02-13,4.180112066999999e-06
2019-02-14,4.240847830999999e-06
2019-02-15,4.408467125e-06
2019-02-16,4.408467125e-06
2019-02-17,4.43663638236e-06
2019-02-18,4.435842600000001e-06
2019-02-19,4.40211315e-06
2019-02-20,4.4408435760000004e-06
2019-02-21,4.417015576e-06
2019-02-22,4.399051512e-06
2019-02-23,4.399051512e-06
2019-02-24,4.407881780940001e-06
2019-02-25,4.242744924000001e-06
2019-02-26,4.255487222e-06
2019-02-27,4.356392298e-06
2019-02-28,4.341934710000001e-06
2019-03-01,4.287429765e-06
2019-03-02,4.287429765e-06
2019-03-03,4.29933879395e-06
2019-03-04,4.322038215e-06
2019-03-05,4.333298215999999e-06
2019-03-06,4.342168395999999e-06
2019-03-07,4.3653909e-06
2019-03-08,4.336512804e-06
2019-03-09,4.336512804e-06
2019-03-10,4.341789971999999e-06
2019-03-11,4.391923068e-06
2019-03-12,4.405306921e-06
2019-03-13,4.442587869999999e-06
2019-03-14,4.40954847e-06
2019-03-15,4.392405036e-06
2019-03-16,4.392405036e-06
2019-03-17,4.392959715000001e-06
2019-03-18,4.418473554000001e-06
2019-03-19,4.372298134e-06
2019-03-20,4.4056939499999995e-06
2019-03-21,4.362061158e-06
2019-03-22,4.27262626e-06
2019-03-23,4.27262626e-06
2019-03-24,4.2675218599999995e-06
2019-03-25,4.286015305e-06
2019-03-26,4.384017421e-06
2019-03-27,4.352535789e-06
