Date,Value
2019-01-01,0.0063
2019-01-02,0.0036
2019-01-03,0.0031
2019-01-04,0.0026
2019-01-05,0.0029
2019-01-06,0.0023
2019-01-07,0.002
2019-01-08,0.0017000000000000001
2019-01-09,0.0015
2019-01-10,0.0016
2019-01-11,0.0022
2019-01-12,0.0014000000000000002
2020-01-01,0.0017000000000000001
2020-01-02,0.0011
2020-01-03,0.0051
2020-01-04,0.005
2020-01-05,0.0028000000000000004
2020-01-06,0.0027
2020-01-07,0.0026
2020-01-08,0.0032
2020-01-09,0.003
2020-01-10,0.0046
2020-01-11,0.005
2020-01-12,0.0046
2021-01-01,0.005
2021-01-02,0.0058
2021-01-03,0.0083
2021-01-04,0.0058
2021-01-05,0.008199999999999999
2021-01-06,0.0075
2021-01-07,0.004699999999999999
2021-01-08,0.0059
2021-01-09,0.008100000000000001
2021-01-10,0.0085
2021-01-11,0.0014000000000000002
2021-01-12,0.0063
2022-01-01,0.008199999999999999
2022-01-02,0.0004
2022-01-03,0.0005
2022-01-04,0.0001
2022-01-05,0.004
2022-01-06,0.0018
2022-01-07,-0.0018
2022-01-08,0.0
2022-01-09,0.003
2022-01-10,0.0003
2022-01-11,0.0018
2022-01-12,-0.0003
2023-01-01,0.003
2023-01-02,0.0013
2023-01-03,0.0037
2023-01-04,0.0031
2023-01-05,0.0052
2023-01-06,0.0049
2023-01-07,0.0053
2023-01-08,0.0075
2023-01-09,0.0092
2023-01-10,0.0089
2023-01-11,0.0001
2023-01-12,0.0040999999999999995
2024-01-01,0.006
2024-01-02,0.0054
2024-01-03,0.006
2024-01-04,0.0070999999999999995
2024-01-05,0.0087
2024-01-06,0.0058
2024-01-07,0.004
2024-01-08,0.006
2024-01-09,0.0075
2024-01-10,0.008100000000000001
2024-01-11,0.001
2024-01-12,0.0002
2025-01-01,0.0096
2025-01-02,0.0075
2025-01-03,0.0069
