Date,Value
01.01.19,4.9
01.02.19,-2.9
01.03.19,1.1
01.04.19,-0.2
01.05.19,0.6
01.06.19,0.6
01.07.19,1.3
01.08.19,0.0
01.09.19,0.5
01.10.19,1.4
01.11.19,-0.4
01.12.19,2.3
01.01.20,5.0
01.02.20,-2.0
01.03.20,1.4
01.04.20,2.0
01.05.20,1.2
01.06.20,0.2
01.07.20,2.5
01.08.20,0.5
01.09.20,1.1
01.10.20,1.3
01.11.20,-0.3
01.12.20,0.4
01.01.21,4.5
01.02.21,-1.8
01.03.21,1.0
01.04.21,0.1
01.05.21,1.6
01.06.21,0.0
01.07.21,0.7
01.08.21,-0.3
01.09.21,0.7
01.10.21,1.3
01.11.21,0.3
01.12.21,2.5
01.01.22,6.3
01.02.22,-1.4
01.03.22,2.1
01.04.22,2.3
01.05.22,0.4
01.06.22,0.8
01.07.22,0.9
01.08.22,1.7
01.09.22,3.5
01.10.22,2.4
01.11.22,0.7
01.12.22,1.6
01.01.23,7.2
01.02.23,-0.2
01.03.23,2.1
01.04.23,1.0
01.05.23,-0.2
01.06.23,1.8
01.07.23,1.3
01.08.23,1.2
01.09.23,2.1
01.10.23,0.5
01.11.23,0.6
01.12.23,1.5
01.01.24,6.3
01.02.24,-0.6
01.03.24,1.6
01.04.24,0.2
01.05.24,3.5
01.06.24,-0.6
01.07.24,1.0
01.08.24,0.8
01.09.24,1.8
01.10.24,1.3
01.11.24,1.2
01.12.24,1.9
01.01.25,5.6
01.02.25,-0.6
01.03.25,1.0
