Date,Value
31.03.2011,26470.295853998206
30.06.2011,28624.55457720777
30.09.2011,30177.23576944276
31.12.2011,32311.819119061714
31.03.2012,27979.628160962013
30.06.2012,30013.8041330371
30.09.2012,31230.62552431474
31.12.2012,33091.52515843838
31.03.2013,28296.087789427642
30.06.2013,30530.548806599796
30.09.2013,31702.127126624488
31.12.2013,33933.97408955186
31.03.2014,28282.69379017552
30.06.2014,30700.112108765305
30.09.2014,32147.55703496802
31.12.2014,34248.75321966792
31.03.2015,27851.058330236454
30.06.2015,29751.825449916432
30.09.2015,31601.09909877183
31.12.2015,33701.755344362624
31.03.2016,27793.61039260219
30.06.2016,29847.375049196315
30.09.2016,31619.647932924752
31.12.2016,33883.137781474725
31.03.2017,28157.68811391548
30.06.2017,30546.21443581938
30.09.2017,32453.733644924803
31.12.2017,34235.60872568834
31.03.2018,28879.422817939172
30.06.2018,31379.833354853676
30.09.2018,33308.47218272924
31.12.2018,35344.47838313317
31.03.2019,29280.396315494418
30.06.2019,31805.782772044862
30.09.2019,34230.25645170588
31.12.2019,36429.359107881675
31.03.2020,29724.309209044317
30.06.2020,29479.045971066265
30.09.2020,33091.02244272857
31.12.2020,35955.3388200858
31.03.2021,29982.5334351537
30.06.2021,32829.62573235047
30.09.2021,34818.89324479158
31.12.2021,38142.71660808338
31.03.2022,31103.957820327774
30.06.2022,31679.223218043706
30.09.2022,33857.522587431995
31.12.2022,37439.93076736166
31.03.2023,30615.796201503228
30.06.2023,33291.76745986036
30.09.2023,35797.406697727325
31.12.2023,39268.66661790158
31.03.2024,32256.95120872041
30.06.2024,34667.89077494536
30.09.2024,36921.0013833432
