Date,Value
2019-01-01,83.8
2019-02-01,97.2
2019-03-01,109.9
2019-04-01,97.7
2019-05-01,97.6
2019-06-01,102.3
2019-07-01,102.1
2019-08-01,101.7
2019-09-01,100.9
2019-10-01,106.3
2019-11-01,96.8
2019-12-01,109.0
2020-01-01,83.0
2020-02-01,100.5
2020-03-01,107.5
2020-04-01,90.8
2020-05-01,94.1
2020-06-01,103.6
2020-07-01,103.2
2020-08-01,103.5
2020-09-01,101.3
2020-10-01,104.4
2020-11-01,101.2
2020-12-01,114.2
2021-01-01,78.7
2021-02-01,99.5
2021-03-01,113.6
2021-04-01,96.2
2021-05-01,97.7
2021-06-01,102.1
2021-07-01,99.9
2021-08-01,101.3
2021-09-01,103.6
2021-10-01,104.8
2021-11-01,100.8
2021-12-01,113.8
2022-01-01,79.8
2022-02-01,97.2
2022-03-01,110.4
2022-04-01,91.2
2022-05-01,98.1
2022-06-01,102.2
2022-07-01,101.8
2022-08-01,101.6
2022-09-01,100.6
2022-10-01,105.4
2022-11-01,102.1
2022-12-01,111.6
2023-01-01,80.0
2023-02-01,97.9
2023-03-01,113.4
2023-04-01,94.6
2023-05-01,100.0
2023-06-01,101.1
2023-07-01,101.6
2023-08-01,102.2
2023-09-01,100.7
2023-10-01,105.0
2023-11-01,101.1
2023-12-01,110.0
2024-01-01,80.4
2024-02-01,101.5
2024-03-01,108.9
2024-04-01,95.1
2024-05-01,101.2
2024-06-01,98.0
2024-07-01,102.4
2024-08-01,101.6
2024-09-01,101.0
2024-10-01,107.3
2024-11-01,99.5
2024-12-01,115.0
