Date,Value
2019-01-01,5627.0
2019-02-01,6111.7
2019-03-01,7042.7
2019-04-01,7063.1
2019-05-01,6696.1
2019-06-01,6861.8
2019-07-01,7059.6
2019-08-01,7212.3
2019-09-01,7336.1
2019-10-01,7581.5
2019-11-01,7417.7
2019-12-01,8139.1
2020-01-01,5743.1
2020-02-01,6227.0
2020-03-01,7255.4
2020-04-01,5896.6
2020-05-01,5686.6
2020-06-01,6691.1
2020-07-01,7123.5
2020-08-01,7221.0
2020-09-01,7745.7
2020-10-01,7960.0
2020-11-01,8015.8
2020-12-01,9282.1
2021-01-01,6451.8
2021-02-01,7200.6
2021-03-01,8798.1
2021-04-01,8733.1
2021-05-01,8132.9
2021-06-01,9156.2
2021-07-01,9156.1
2021-08-01,9421.6
2021-09-01,9846.9
2021-10-01,10141.6
2021-11-01,10304.5
2021-12-01,12143.4
2022-01-01,8896.8720987
2022-02-01,9824.804485300001
2022-03-01,12310.4091165
2022-04-01,10189.873753900001
2022-05-01,9049.3719687
2022-06-01,9158.4107071
2022-07-01,8906.0226078
2022-08-01,9633.942685700003
2022-09-01,9684.916052199998
2022-10-01,9483.920001800001
2022-11-01,9580.3307426
2022-12-01,11524.962866400001
2023-01-01,8537.987702800001
2023-02-01,9100.978473099998
2023-03-01,10876.590402200001
2023-04-01,10332.5300255
2023-05-01,10363.704446700001
2023-06-01,11198.2549838
2023-07-01,11229.8529612
2023-08-01,12311.946940799999
2023-09-01,12544.658915900001
2023-10-01,12712.391087700002
2023-11-01,12553.4183079
2023-12-01,14146.5583573
2024-01-01,10553.4
2024-02-01,11819.8
2024-03-01,13355.0
2024-04-01,12924.3
2024-05-01,12797.0
2024-06-01,12777.1
2024-07-01,13132.7
2024-08-01,13041.4
2024-09-01,13392.4
2024-10-01,14176.9
2024-11-01,13652.2
2024-12-01,15615.3
