Date,Value
2019-01-01,2507.5
2019-02-01,2454.6
2019-03-01,2690.4
2019-04-01,2656.9
2019-05-01,2703.2
2019-06-01,2741.0
2019-07-01,2807.0
2019-08-01,2897.5
2019-09-01,2856.2
2019-10-01,2904.6
2019-11-01,2932.5
2019-12-01,3472.9
2020-01-01,2642.5
2020-02-01,2632.8999999999996
2020-03-01,2953.2000000000007
2020-04-01,2144.3999999999996
2020-05-01,2307.0
2020-06-01,2671.6000000000004
2020-07-01,2906.1000000000004
2020-08-01,3001.2999999999993
2020-09-01,2953.2000000000007
2020-10-01,3038.7000000000007
2020-11-01,3021.0999999999985
2020-12-01,3601.699999999997
2021-01-01,2842.3
2021-02-01,2797.2
2021-03-01,3084.7000000000003
2021-04-01,3118.3
2021-05-01,3169.6
2021-06-01,3206.7
2021-07-01,3310.3
2021-08-01,3437.2
2021-09-01,3413.6
2021-10-01,3483.5
2021-11-01,3432.8
2021-12-01,4175.8
2022-01-01,3266.3
2022-02-01,3300.0
2022-03-01,3774.6
2022-04-01,3389.1
2022-05-01,3426.3
2022-06-01,3440.0
2022-07-01,3524.3
2022-08-01,3611.5
2022-09-01,3501.2
2022-10-01,3561.4
2022-11-01,3577.2
2022-12-01,4205.1
2023-01-01,3443.6
2023-02-01,3405.9
2023-03-01,3726.6000000000004
2023-04-01,3732.8
2023-05-01,3837.2
2023-06-01,3936.1
2023-07-01,4119.0
2023-08-01,4297.2
2023-09-01,4188.8
2023-10-01,4286.2
2023-11-01,4208.7
2023-12-01,4973.6
2024-01-01,3997.8
2024-02-01,4078.0999999999995
2024-03-01,4435.4
2024-04-01,4355.9
2024-05-01,4461.2
2024-06-01,4529.4
2024-07-01,4734.8
2024-08-01,4877.6
2024-09-01,4794.7
2024-10-01,4840.8
2024-11-01,4809.3
2024-12-01,5674.2
