Date,Value
2019-01-01,828.1
2019-02-01,827.2
2019-03-01,860.5
2019-04-01,865.9
2019-05-01,859.5
2019-06-01,874.2
2019-07-01,892.3
2019-08-01,900.3
2019-09-01,886.4
2019-10-01,892.5
2019-11-01,897.1
2019-12-01,951.7
2020-01-01,886.4
2020-02-01,881.4
2020-03-01,851.4
2020-04-01,564.4
2020-05-01,553.0
2020-06-01,635.6
2020-07-01,734.5
2020-08-01,808.5
2020-09-01,835.2
2020-10-01,826.5
2020-11-01,819.9
2020-12-01,897.3
2021-01-01,835.5
2021-02-01,863.8
2021-03-01,926.5
2021-04-01,939.9
2021-05-01,923.3
2021-06-01,942.7
2021-07-01,939.2
2021-08-01,977.2
2021-09-01,990.3
2021-10-01,987.8
2021-11-01,987.5
2021-12-01,1057.3
2022-01-01,1015.9
2022-02-01,1021.2
2022-03-01,1063.6
2022-04-01,1045.7
2022-05-01,1030.5
2022-06-01,1052.6
2022-07-01,1067.8
2022-08-01,1111.2
2022-09-01,1101.8
2022-10-01,1095.8
2022-11-01,1111.3
2022-12-01,1201.2
2023-01-01,1166.9
2023-02-01,1190.3
2023-03-01,1242.0
2023-04-01,1222.0
2023-05-01,1226.8
2023-06-01,1244.1
2023-07-01,1253.9
2023-08-01,1299.0
2023-09-01,1288.0
2023-10-01,1294.2
2023-11-01,1305.2
2023-12-01,1386.1
2024-01-01,1305.6
2024-02-01,1349.0
2024-03-01,1376.4
2024-04-01,1385.2
2024-05-01,1396.6
2024-06-01,1415.0
2024-07-01,1461.6
2024-08-01,1494.9
2024-09-01,1475.5
2024-10-01,1489.6
2024-11-01,1489.2
2024-12-01,1585.6
