Date,Value
2025-04-01,24018.0
2025-03-01,23391.0
2025-02-01,22701.0
2025-01-01,22990.0
2024-12-01,20903.0
2024-11-01,20760.0
2024-10-01,20983.0
2024-09-01,20731.0
2024-08-01,20448.0
2024-07-01,20683.0
2024-06-01,20596.0
2024-05-01,20485.0
2024-04-01,20454.0
2024-03-01,20162.0
2024-02-01,20194.0
2024-01-01,19963.0
2023-12-01,19862.0
2023-11-01,19534.0
2023-10-01,19524.0
2023-09-01,19429.0
2023-08-01,19667.0
2023-07-01,19312.0
2023-06-01,18945.0
2023-05-01,18693.0
2023-04-01,18456.0
2023-03-01,18240.0
2023-02-01,17915.0
2023-01-01,17883.0
2022-12-01,16515.0
2022-11-01,15534.0
2022-10-01,15310.0
2022-09-01,15303.0
2022-08-01,15301.0
2022-07-01,15693.0
2022-06-01,15633.0
2022-05-01,15623.0
2022-04-01,15615.0
2022-03-01,15609.0
2022-02-01,15502.0
2022-01-01,15494.0
2021-12-01,15711.0
2021-11-01,15693.0
2021-10-01,15633.0
2021-09-01,15446.0
2021-08-01,15312.0
2021-07-01,15152.0
2021-06-01,14949.0
2021-05-01,14810.0
2021-04-01,14426.0
2021-03-01,13858.0
2021-02-01,13703.0
2021-01-01,13669.0
2020-12-01,13551.0
2020-11-01,12765.0
2020-10-01,11259.0
2020-09-01,10424.0
2020-08-01,10244.0
2020-07-01,10015.0
2020-06-01,9618.0
2020-05-01,9470.0
2020-04-01,9130.0
2020-03-01,9128.0
2020-02-01,8829.0
2020-01-01,8905.0
2019-12-01,8928.0
2019-11-01,8860.0
2019-10-01,8785.0
2019-09-01,8695.0
2019-08-01,8608.0
2019-07-01,8309.0
2019-06-01,8200.0
2019-05-01,8073.0
2019-04-01,7661.0
2019-03-01,7393.0
2019-02-01,7374.0
2019-01-01,7332.0
2018-12-01,7287.0
2018-11-01,7236.0
2018-10-01,7182.0
2018-09-01,7181.0
2018-08-01,7179.0
2018-07-01,7033.0
2018-06-01,6959.0
2018-05-01,6877.0
2018-04-01,6813.0
2018-03-01,6822.0
2018-02-01,6693.0
2018-01-01,6740.0
2017-12-01,6798.0
2017-11-01,6687.0
2017-10-01,6569.0
2017-09-01,6423.0
2017-08-01,6281.0
2017-07-01,6149.0
2017-06-01,6163.0
2017-05-01,6010.0
2017-04-01,6000.0
2017-03-01,5848.0
2017-02-01,5753.0
2017-01-01,5633.0
2016-12-01,5492.0
2016-11-01,5407.0
2016-10-01,5366.0
2016-09-01,5324.0
2016-08-01,5410.0
2016-07-01,5311.0
2016-06-01,5210.0
2016-05-01,5245.0
2016-04-01,5144.0
2016-03-01,5036.0
2016-02-01,4957.0
2016-01-01,4991.0
2015-12-01,4939.0
2015-11-01,4893.0
2015-10-01,4812.0
2015-09-01,4760.0
2015-08-01,4969.0
2015-07-01,4843.0
2015-06-01,4885.0
2015-05-01,4800.0
2015-04-01,4690.0
2015-03-01,4749.0
2015-02-01,4697.0
2015-01-01,4693.0
2014-12-01,3630.0
2014-11-01,3713.0
2014-10-01,3699.0
2014-09-01,3689.0
2014-08-01,3734.0
2014-07-01,3698.0
2014-06-01,3666.0
2014-05-01,3641.0
2014-04-01,3634.0
2014-03-01,3773.0
2014-02-01,3746.0
2014-01-01,3735.0
2013-12-01,3661.0
2013-11-01,3571.0
2013-10-01,3478.0
2013-09-01,3420.0
2013-08-01,3381.0
2013-07-01,3360.0
2013-06-01,3350.0
2013-05-01,3310.0
2013-04-01,3186.0
2013-03-01,3195.0
2013-02-01,3218.0
2013-01-01,3297.0
2012-12-01,3210.0
2012-11-01,3163.0
2012-10-01,3087.0
2012-09-01,3064.0
2012-08-01,3162.0
2012-07-01,3112.0
2012-06-01,3054.0
2012-05-01,3054.0
2012-04-01,3019.0
2012-03-01,2979.0
2012-02-01,2897.0
2012-01-01,2903.0
